#ies_format_version: 1.0
#file: 20250114_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20250114;	114645;	1736851605.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20250114;	114650;	1736851610.000;	   +3.943;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.005;	   +0.000
20250114;	114655;	1736851615.000;	   +3.759;	   +0.009;	   -3.746;	   +0.017;	    err28;	    err28;	idle                ;	   +0.010;	   +0.000
20250114;	114700;	1736851620.000;	   +3.552;	   +0.009;	   -3.509;	   +0.017;	   +0.017;	   +3.943;	idle                ;	   +0.015;	   +0.000
20250114;	114705;	1736851625.000;	   +3.814;	   +0.009;	   -3.603;	   +0.016;	   +0.017;	   +3.759;	idle                ;	   +0.020;	   +0.000
20250114;	114710;	1736851630.000;	   +4.027;	   +0.009;	   -3.813;	   +0.017;	   +0.017;	   +3.552;	idle                ;	   +0.025;	   +0.000
20250114;	114715;	1736851635.000;	   +3.648;	   +0.009;	   -3.653;	   +0.017;	   +0.016;	   +3.814;	idle                ;	   +0.031;	   +0.000
20250114;	114720;	1736851640.000;	   +3.540;	   +0.009;	   -3.470;	   +0.017;	   +0.017;	   +4.027;	idle                ;	   +0.035;	   +0.000
20250114;	114725;	1736851645.000;	   +3.567;	   +0.009;	   -3.470;	   +0.017;	   +0.017;	   +3.648;	idle                ;	   +0.040;	   +0.000
20250114;	114730;	1736851650.000;	   +3.589;	   +0.009;	   -3.520;	   +0.017;	   +0.017;	   +3.540;	idle                ;	   +0.045;	   +0.000
20250114;	114735;	1736851655.000;	   +3.386;	   +0.009;	   -3.349;	   +0.017;	   +0.017;	   +3.567;	idle                ;	   +0.050;	   +0.000
20250114;	114740;	1736851660.000;	   +3.348;	   +0.009;	   -3.273;	   +0.016;	   +0.017;	   +3.589;	idle                ;	   +0.054;	   +0.000
20250114;	114745;	1736851665.000;	   +3.388;	   +0.009;	   -3.287;	   +0.016;	   +0.017;	   +3.386;	idle                ;	   +0.059;	   +0.000
20250114;	114750;	1736851670.000;	   +3.447;	   +0.009;	   -3.349;	   +0.017;	   +0.016;	   +3.348;	idle                ;	   +0.064;	   +0.000
