#ies_format_version: 1.0
#file: 20241212_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241212;	115435;	1734000875.000;	     err7;	     err7;	     err6;	     err7;	     err7;	     err7;	               err12;	   +0.000;	   +0.000
20241212;	115440;	1734000880.000;	   +7.432;	   +0.030;	   -6.790;	   +0.017;	    err28;	    err28;	idle                ;	   +0.009;	   +0.000
20241212;	115445;	1734000885.000;	   +7.489;	   +0.030;	   -6.814;	   +0.017;	    err28;	    err28;	idle                ;	   +0.019;	   +0.000
20241212;	115450;	1734000890.000;	   +6.336;	   +0.030;	   -6.806;	   +0.017;	   +0.017;	   +7.432;	idle                ;	   +0.028;	   +0.000
20241212;	115455;	1734000895.000;	   +4.782;	   +0.030;	   -3.855;	   +0.017;	   +0.017;	   +7.489;	idle                ;	   +0.034;	   +0.000
20241212;	115500;	1734000900.000;	   +6.184;	   +0.030;	   -5.907;	   +0.017;	   +0.017;	   +6.336;	idle                ;	   +0.042;	   +0.000
20241212;	115505;	1734000905.000;	   +7.588;	   +0.031;	   -7.041;	   +0.017;	   +0.017;	   +4.782;	idle                ;	   +0.052;	   +0.000
20241212;	115510;	1734000910.000;	   +7.634;	   +0.030;	   -7.376;	   +0.017;	   +0.017;	   +6.184;	idle                ;	   +0.062;	   +0.000
20241212;	115515;	1734000915.000;	   +7.599;	   +0.031;	   -6.980;	   +0.016;	   +0.017;	   +7.588;	idle                ;	   +0.072;	   +0.000
20241212;	115520;	1734000920.000;	   +7.612;	   +0.030;	   -7.387;	   +0.017;	   +0.017;	   +7.634;	idle                ;	   +0.082;	   +0.000
