#ies_format_version: 1.0
#file: 20241224_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241224;	113957;	1735036797.000;	   +0.096
20241224;	114002;	1735036802.000;	   +0.102
20241224;	114007;	1735036807.000;	   +0.000
20241224;	114012;	1735036812.000;	   +0.121
20241224;	114017;	1735036817.000;	   +0.010
20241224;	114022;	1735036822.000;	   +0.072
20241224;	114027;	1735036827.000;	   +0.076
20241224;	114032;	1735036832.000;	   +0.080
20241224;	114037;	1735036837.000;	   +0.075
20241224;	114042;	1735036842.000;	   +0.075
20241224;	114047;	1735036847.000;	   +0.077
20241224;	114052;	1735036852.000;	   +0.078
20241224;	114057;	1735036857.000;	   +0.086
20241224;	114102;	1735036862.000;	   +0.074
20241224;	114107;	1735036867.000;	   +0.072
20241224;	114112;	1735036872.000;	   +0.078
20241224;	114117;	1735036877.000;	   +0.080
20241224;	114122;	1735036882.000;	   +0.103
20241224;	114127;	1735036887.000;	   +0.302
20241224;	114132;	1735036892.000;	   +0.038
20241224;	114137;	1735036897.000;	   +0.072
20241224;	114142;	1735036902.000;	   +0.083
20241224;	114147;	1735036907.000;	   +0.068
20241224;	114152;	1735036912.000;	   +0.079
20241224;	114157;	1735036917.000;	   +0.075
20241224;	114202;	1735036922.000;	   +0.070
20241224;	114207;	1735036927.000;	   +0.074
20241224;	114212;	1735036932.000;	   +0.076
20241224;	114217;	1735036937.000;	   +0.080
20241224;	114222;	1735036942.000;	   +0.079
20241224;	114227;	1735036947.000;	   +0.076
20241224;	114232;	1735036952.000;	   +0.078
20241224;	114237;	1735036957.000;	   +0.080
20241224;	114242;	1735036962.000;	   +0.077
20241224;	114247;	1735036967.000;	   +0.074
20241224;	114252;	1735036972.000;	   +0.086
20241224;	114257;	1735036977.000;	   +0.106
20241224;	114302;	1735036982.000;	   +0.001
20241224;	114307;	1735036987.000;	   +0.077
20241224;	114312;	1735036992.000;	   +0.088
20241224;	114317;	1735036997.000;	   +0.114
