#ies_format_version: 1.0
#file: 20241226_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241226;	114132;	1735209692.000;	     err7
20241226;	114137;	1735209697.000;	   +0.072
20241226;	114142;	1735209702.000;	   +0.083
20241226;	114147;	1735209707.000;	   +0.068
20241226;	114152;	1735209712.000;	   +0.079
20241226;	114157;	1735209717.000;	   +0.075
20241226;	114202;	1735209722.000;	   +0.070
20241226;	114207;	1735209727.000;	   +0.074
20241226;	114212;	1735209732.000;	    err32
20241226;	114217;	1735209737.000;	    err32
20241226;	114222;	1735209742.000;	    err32
20241226;	114227;	1735209747.000;	    err32
20241226;	114232;	1735209752.000;	    err32
20241226;	114237;	1735209757.000;	    err32
20241226;	114242;	1735209762.000;	    err32
20241226;	114247;	1735209767.000;	    err32
20241226;	114252;	1735209772.000;	    err32
20241226;	114257;	1735209777.000;	    err32
20241226;	114302;	1735209782.000;	    err32
20241226;	114307;	1735209787.000;	    err32
20241226;	114312;	1735209792.000;	    err32
20241226;	114317;	1735209797.000;	    err32
20241226;	114322;	1735209802.000;	    err32
20241226;	114327;	1735209807.000;	    err32
20241226;	114332;	1735209812.000;	    err32
20241226;	114337;	1735209817.000;	    err32
20241226;	114342;	1735209822.000;	    err32
20241226;	114347;	1735209827.000;	    err32
20241226;	114352;	1735209832.000;	    err32
20241226;	114357;	1735209837.000;	    err32
20241226;	114402;	1735209842.000;	    err32
20241226;	114407;	1735209847.000;	    err32
20241226;	114412;	1735209852.000;	    err32
20241226;	114417;	1735209857.000;	    err32
20241226;	114422;	1735209862.000;	    err32
20241226;	114427;	1735209867.000;	    err32
20241226;	114432;	1735209872.000;	    err32
20241226;	114437;	1735209877.000;	    err32
20241226;	114442;	1735209882.000;	    err32
20241226;	114447;	1735209887.000;	    err32
20241226;	114452;	1735209892.000;	    err32
20241226;	114457;	1735209897.000;	    err32
20241226;	114502;	1735209902.000;	    err32
20241226;	114507;	1735209907.000;	    err32
20241226;	114512;	1735209912.000;	    err32
20241226;	114517;	1735209917.000;	    err32
20241226;	114522;	1735209922.000;	    err32
20241226;	114527;	1735209927.000;	    err32
20241226;	114532;	1735209932.000;	    err32
20241226;	114537;	1735209937.000;	    err32
20241226;	114542;	1735209942.000;	    err32
20241226;	114547;	1735209947.000;	    err32
20241226;	114552;	1735209952.000;	    err32
20241226;	114557;	1735209957.000;	    err32
20241226;	114602;	1735209962.000;	    err32
20241226;	114607;	1735209967.000;	    err32
20241226;	114612;	1735209972.000;	    err32
20241226;	114617;	1735209977.000;	    err32
20241226;	114622;	1735209982.000;	    err32
20241226;	114627;	1735209987.000;	    err32
20241226;	114632;	1735209992.000;	    err32
20241226;	114637;	1735209997.000;	    err32
20241226;	114642;	1735210002.000;	    err32
20241226;	114647;	1735210007.000;	    err32
20241226;	114652;	1735210012.000;	    err32
20241226;	114657;	1735210017.000;	    err32
20241226;	114702;	1735210022.000;	    err32
20241226;	114707;	1735210027.000;	    err32
20241226;	114712;	1735210032.000;	    err32
20241226;	114717;	1735210037.000;	    err32
20241226;	114722;	1735210042.000;	    err32
20241226;	114727;	1735210047.000;	    err32
20241226;	114732;	1735210052.000;	    err32
20241226;	114737;	1735210057.000;	    err32
20241226;	114742;	1735210062.000;	    err32
20241226;	114747;	1735210067.000;	    err32
20241226;	114752;	1735210072.000;	    err32
20241226;	114757;	1735210077.000;	    err32
20241226;	114802;	1735210082.000;	    err32
20241226;	114807;	1735210087.000;	    err32
20241226;	114812;	1735210092.000;	    err32
20241226;	114817;	1735210097.000;	    err32
20241226;	114822;	1735210102.000;	    err32
20241226;	114827;	1735210107.000;	    err32
20241226;	114832;	1735210112.000;	    err32
20241226;	114837;	1735210117.000;	    err32
20241226;	114842;	1735210122.000;	    err32
20241226;	114847;	1735210127.000;	    err32
20241226;	114852;	1735210132.000;	    err32
20241226;	114857;	1735210137.000;	    err32
20241226;	114902;	1735210142.000;	    err32
20241226;	114907;	1735210147.000;	    err32
20241226;	114912;	1735210152.000;	    err32
20241226;	114917;	1735210157.000;	    err32
20241226;	114922;	1735210162.000;	    err32
20241226;	114927;	1735210167.000;	    err32
20241226;	114932;	1735210172.000;	    err32
20241226;	114937;	1735210177.000;	    err32
20241226;	114942;	1735210182.000;	    err32
20241226;	114947;	1735210187.000;	    err32
20241226;	114952;	1735210192.000;	    err32
20241226;	114957;	1735210197.000;	    err32
20241226;	115002;	1735210202.000;	    err32
20241226;	115007;	1735210207.000;	    err32
20241226;	115012;	1735210212.000;	    err32
20241226;	115017;	1735210217.000;	    err32
20241226;	115022;	1735210222.000;	    err32
20241226;	115027;	1735210227.000;	    err32
20241226;	115032;	1735210232.000;	    err32
20241226;	115037;	1735210237.000;	    err32
20241226;	115042;	1735210242.000;	    err32
20241226;	115047;	1735210247.000;	    err32
20241226;	115052;	1735210252.000;	    err32
20241226;	115057;	1735210257.000;	    err32
20241226;	115102;	1735210262.000;	    err32
20241226;	115107;	1735210267.000;	    err32
20241226;	115112;	1735210272.000;	    err32
20241226;	115117;	1735210277.000;	    err32
20241226;	115122;	1735210282.000;	    err32
20241226;	115127;	1735210287.000;	    err32
20241226;	115132;	1735210292.000;	    err32
20241226;	115137;	1735210297.000;	    err32
20241226;	115142;	1735210302.000;	    err32
20241226;	115147;	1735210307.000;	    err32
20241226;	115152;	1735210312.000;	    err32
20241226;	115157;	1735210317.000;	    err32
20241226;	115202;	1735210322.000;	    err32
20241226;	115207;	1735210327.000;	    err32
20241226;	115212;	1735210332.000;	    err32
20241226;	115217;	1735210337.000;	    err32
20241226;	115222;	1735210342.000;	    err32
20241226;	115227;	1735210347.000;	    err32
20241226;	115232;	1735210352.000;	    err32
20241226;	115237;	1735210357.000;	    err32
20241226;	115242;	1735210362.000;	    err32
20241226;	115247;	1735210367.000;	    err32
20241226;	115252;	1735210372.000;	    err32
20241226;	115257;	1735210377.000;	    err32
20241226;	115302;	1735210382.000;	    err32
20241226;	115307;	1735210387.000;	    err32
20241226;	115312;	1735210392.000;	    err32
20241226;	115317;	1735210397.000;	    err32
20241226;	115322;	1735210402.000;	    err32
20241226;	115327;	1735210407.000;	    err32
20241226;	115332;	1735210412.000;	    err32
20241226;	115337;	1735210417.000;	    err32
20241226;	115342;	1735210422.000;	    err32
20241226;	115347;	1735210427.000;	    err32
20241226;	115352;	1735210432.000;	    err32
20241226;	115357;	1735210437.000;	    err32
20241226;	115402;	1735210442.000;	    err32
20241226;	115407;	1735210447.000;	    err32
20241226;	115412;	1735210452.000;	    err32
20241226;	115417;	1735210457.000;	    err32
20241226;	115422;	1735210462.000;	    err32
20241226;	115427;	1735210467.000;	    err32
20241226;	115432;	1735210472.000;	    err32
20241226;	115437;	1735210477.000;	    err32
20241226;	115442;	1735210482.000;	    err32
20241226;	115447;	1735210487.000;	    err32
20241226;	115452;	1735210492.000;	    err32
20241226;	115457;	1735210497.000;	    err32
20241226;	115502;	1735210502.000;	    err32
20241226;	115507;	1735210507.000;	    err32
20241226;	115512;	1735210512.000;	    err32
20241226;	115517;	1735210517.000;	    err32
20241226;	115522;	1735210522.000;	    err32
20241226;	115527;	1735210527.000;	    err32
