#ies_format_version: 1.0
#file: 20250205_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20250205;	113000;	1738751400.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20250205;	113005;	1738751405.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113010;	1738751410.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113015;	1738751415.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113020;	1738751420.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113025;	1738751425.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113030;	1738751430.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113035;	1738751435.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113040;	1738751440.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113045;	1738751445.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20250205;	113050;	1738751450.000;	   +3.613;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.005;	   +0.000
20250205;	113055;	1738751455.000;	   +3.546;	   +0.009;	   -3.470;	   +0.016;	    err28;	    err28;	idle                ;	   +0.010;	   +0.000
20250205;	113100;	1738751460.000;	   +3.564;	   +0.009;	   -3.490;	   +0.017;	   +0.017;	   +3.613;	idle                ;	   +0.015;	   +0.000
20250205;	113105;	1738751465.000;	   +3.850;	   +0.009;	   -3.637;	   +0.017;	   +0.016;	   +3.546;	idle                ;	   +0.020;	   +0.000
20250205;	113110;	1738751470.000;	   +4.261;	   +0.009;	   -4.313;	   +0.017;	   +0.017;	   +3.564;	idle                ;	   +0.026;	   +0.000
20250205;	113115;	1738751475.000;	   +7.860;	   +0.009;	   -7.944;	   +0.017;	   +0.017;	   +3.850;	idle                ;	   +0.037;	   +0.000
20250205;	113120;	1738751480.000;	   +8.232;	   +0.010;	   -7.711;	   +0.017;	   +0.017;	   +4.261;	idle                ;	   +0.047;	   +0.000
20250205;	113125;	1738751485.000;	   +6.808;	   +0.009;	   -7.935;	   +0.017;	   +0.017;	   +7.860;	idle                ;	   +0.058;	   +0.000
20250205;	113130;	1738751490.000;	   +5.976;	   +0.009;	   -5.334;	   +0.017;	   +0.017;	   +8.232;	idle                ;	   +0.066;	   +0.000
20250205;	113135;	1738751495.000;	   +7.818;	   +0.009;	   -8.296;	   +0.017;	   +0.017;	   +6.808;	idle                ;	   +0.077;	   +0.000
20250205;	113140;	1738751500.000;	   +4.550;	   +0.009;	   -4.700;	   +0.016;	   +0.017;	   +5.976;	idle                ;	   +0.084;	   +0.000
20250205;	113145;	1738751505.000;	   +4.912;	   +0.009;	   -4.735;	   +0.017;	   +0.017;	   +7.818;	idle                ;	   +0.091;	   +0.000
20250205;	113150;	1738751510.000;	   +4.540;	   +0.009;	   -4.736;	   +0.017;	   +0.016;	   +4.550;	idle                ;	   +0.097;	   +0.000
20250205;	113155;	1738751515.000;	   +8.590;	   +0.009;	   -8.084;	   +0.017;	   +0.017;	   +4.912;	idle                ;	   +0.108;	   +0.000
20250205;	113200;	1738751520.000;	   +8.491;	   +0.009;	   -8.483;	   +0.017;	   +0.017;	   +4.540;	idle                ;	   +0.120;	   +0.000
20250205;	113205;	1738751525.000;	   +8.443;	   +0.010;	   -8.282;	   +0.017;	   +0.017;	   +8.590;	idle                ;	   +0.132;	   +0.000
20250205;	113210;	1738751530.000;	   +5.011;	   +0.010;	   -5.198;	   +0.017;	   +0.017;	   +8.491;	idle                ;	   +0.139;	   +0.000
20250205;	113215;	1738751535.000;	   +8.772;	   +0.010;	   -8.102;	   +0.017;	   +0.017;	   +8.443;	idle                ;	   +0.150;	   +0.000
20250205;	113220;	1738751540.000;	   +5.838;	   +0.009;	   -6.554;	   +0.017;	   +0.017;	   +5.011;	idle                ;	   +0.159;	   +0.000
20250205;	113225;	1738751545.000;	   +6.005;	   +0.009;	   -6.712;	   +0.017;	   +0.017;	   +8.772;	idle                ;	   +0.168;	   +0.000
20250205;	113230;	1738751550.000;	   +6.191;	   +0.009;	   -5.402;	   +0.017;	   +0.017;	   +5.838;	idle                ;	   +0.176;	   +0.000
20250205;	113235;	1738751555.000;	   +8.583;	   +0.009;	   -8.254;	   +0.017;	   +0.017;	   +6.005;	idle                ;	   +0.187;	   +0.000
20250205;	113240;	1738751560.000;	   +8.601;	   +0.010;	   -8.612;	   +0.017;	   +0.017;	   +6.191;	idle                ;	   +0.199;	   +0.000
20250205;	113245;	1738751565.000;	   +8.698;	   +0.009;	   -8.354;	   +0.017;	   +0.017;	   +8.583;	idle                ;	   +0.211;	   +0.000
20250205;	113250;	1738751570.000;	   +8.596;	   +0.009;	   -8.686;	   +0.017;	   +0.017;	   +8.601;	idle                ;	   +0.223;	   +0.000
20250205;	113255;	1738751575.000;	   +6.651;	   +0.009;	   -6.956;	   +0.018;	   +0.017;	   +8.698;	idle                ;	   +0.233;	   +0.000
20250205;	113300;	1738751580.000;	   +7.583;	   +0.010;	   -6.728;	   +0.017;	   +0.017;	   +8.596;	idle                ;	   +0.242;	   +0.000
20250205;	113305;	1738751585.000;	   +7.553;	   +0.009;	   -6.630;	   +0.017;	   +0.018;	   +6.651;	idle                ;	   +0.251;	   +0.000
20250205;	113310;	1738751590.000;	   +7.223;	   +0.009;	   -6.131;	   +0.017;	   +0.017;	   +7.583;	idle                ;	   +0.260;	   +0.000
20250205;	113315;	1738751595.000;	   +8.291;	   +0.009;	   -8.499;	   +0.017;	   +0.017;	   +7.553;	idle                ;	   +0.272;	   +0.000
20250205;	113320;	1738751600.000;	   +5.864;	   +0.009;	   -7.200;	   +0.017;	   +0.017;	   +7.223;	idle                ;	   +0.282;	   +0.000
20250205;	113325;	1738751605.000;	   +5.816;	   +0.009;	   -6.133;	   +0.017;	   +0.017;	   +8.291;	idle                ;	   +0.290;	   +0.000
20250205;	113330;	1738751610.000;	   +4.436;	   +0.009;	   -4.547;	   +0.017;	   +0.017;	   +5.864;	idle                ;	   +0.296;	   +0.000
20250205;	113335;	1738751615.000;	   +4.466;	   +0.009;	   -4.832;	   +0.017;	   +0.017;	   +5.816;	idle                ;	   +0.303;	   +0.000
20250205;	113340;	1738751620.000;	   +5.084;	   +0.009;	   -4.348;	   +0.017;	   +0.017;	   +4.436;	idle                ;	   +0.309;	   +0.000
20250205;	113345;	1738751625.000;	   +6.142;	   +0.009;	   -6.351;	   +0.017;	   +0.017;	   +4.466;	idle                ;	   +0.318;	   +0.000
20250205;	113350;	1738751630.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113355;	1738751635.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113400;	1738751640.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113405;	1738751645.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113410;	1738751650.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113415;	1738751655.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113420;	1738751660.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113425;	1738751665.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113430;	1738751670.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113435;	1738751675.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113440;	1738751680.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113445;	1738751685.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113450;	1738751690.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113455;	1738751695.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113500;	1738751700.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113505;	1738751705.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113510;	1738751710.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113515;	1738751715.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113520;	1738751720.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113525;	1738751725.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113530;	1738751730.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113535;	1738751735.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113540;	1738751740.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113545;	1738751745.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113550;	1738751750.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113555;	1738751755.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113600;	1738751760.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113605;	1738751765.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113610;	1738751770.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113615;	1738751775.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113620;	1738751780.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113625;	1738751785.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113630;	1738751790.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113635;	1738751795.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113640;	1738751800.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113645;	1738751805.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113650;	1738751810.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113655;	1738751815.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113700;	1738751820.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113705;	1738751825.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113710;	1738751830.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113715;	1738751835.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113720;	1738751840.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113725;	1738751845.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20250205;	113730;	1738751850.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
