#ies_format_version: 1.0
#file: 20250204_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250204;	095112;	1738659072.000;	    err11
20250204;	095117;	1738659077.000;	   +0.155
20250204;	095122;	1738659082.000;	   +0.129
20250204;	095127;	1738659087.000;	   +0.175
20250204;	095132;	1738659092.000;	   +0.160
20250204;	095137;	1738659097.000;	   +0.130
20250204;	095142;	1738659102.000;	   +0.145
20250204;	095147;	1738659107.000;	   +0.159
20250204;	095152;	1738659112.000;	   +0.166
20250204;	095157;	1738659117.000;	   +0.162
20250204;	095202;	1738659122.000;	   +0.195
20250204;	095207;	1738659127.000;	   +0.156
20250204;	095212;	1738659132.000;	   +0.150
20250204;	095217;	1738659137.000;	   +0.082
20250204;	095222;	1738659142.000;	   +0.164
20250204;	095227;	1738659147.000;	   +0.097
20250204;	095232;	1738659152.000;	   +0.102
20250204;	095237;	1738659157.000;	   +0.166
20250204;	095242;	1738659162.000;	   +0.162
20250204;	095247;	1738659167.000;	   +0.181
20250204;	095252;	1738659172.000;	   +0.156
20250204;	095257;	1738659177.000;	   +0.163
20250204;	095302;	1738659182.000;	   +0.159
20250204;	095307;	1738659187.000;	   +0.168
20250204;	095312;	1738659192.000;	   +0.164
20250204;	095317;	1738659197.000;	   +0.165
20250204;	095322;	1738659202.000;	    err32
20250204;	095327;	1738659207.000;	    err32
20250204;	095332;	1738659212.000;	    err32
20250204;	095337;	1738659217.000;	    err32
20250204;	095342;	1738659222.000;	    err32
20250204;	095347;	1738659227.000;	    err32
20250204;	095352;	1738659232.000;	    err32
20250204;	095357;	1738659237.000;	    err32
20250204;	095402;	1738659242.000;	    err32
20250204;	095407;	1738659247.000;	    err32
20250204;	095412;	1738659252.000;	    err32
20250204;	095417;	1738659257.000;	    err32
20250204;	095422;	1738659262.000;	    err32
20250204;	095427;	1738659267.000;	    err32
20250204;	095432;	1738659272.000;	    err32
20250204;	095437;	1738659277.000;	    err32
20250204;	095442;	1738659282.000;	    err32
20250204;	095447;	1738659287.000;	    err32
20250204;	095452;	1738659292.000;	    err32
20250204;	095457;	1738659297.000;	    err32
20250204;	095502;	1738659302.000;	    err32
