#ies_format_version: 1.0
#file: 20250205_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250205;	113002;	1738751402.000;	   +0.010
20250205;	113007;	1738751407.000;	    err32
20250205;	113012;	1738751412.000;	    err32
20250205;	113017;	1738751417.000;	    err32
20250205;	113022;	1738751422.000;	    err32
20250205;	113027;	1738751427.000;	    err32
20250205;	113032;	1738751432.000;	    err32
20250205;	113037;	1738751437.000;	    err32
20250205;	113042;	1738751442.000;	    err20
20250205;	113047;	1738751447.000;	    err20
20250205;	113052;	1738751452.000;	   +0.076
20250205;	113057;	1738751457.000;	   +0.074
20250205;	113102;	1738751462.000;	   +0.213
20250205;	113107;	1738751467.000;	   +0.000
20250205;	113112;	1738751472.000;	   +0.000
20250205;	113117;	1738751477.000;	   +0.521
20250205;	113122;	1738751482.000;	   +0.000
20250205;	113127;	1738751487.000;	   +0.642
20250205;	113132;	1738751492.000;	   +0.000
20250205;	113137;	1738751497.000;	   +0.000
20250205;	113142;	1738751502.000;	   +0.177
20250205;	113147;	1738751507.000;	   +0.000
20250205;	113152;	1738751512.000;	   +0.506
20250205;	113157;	1738751517.000;	   +0.008
20250205;	113202;	1738751522.000;	   +0.161
20250205;	113207;	1738751527.000;	   +0.000
20250205;	113212;	1738751532.000;	   +0.670
20250205;	113217;	1738751537.000;	   +0.000
20250205;	113222;	1738751542.000;	   +0.000
20250205;	113227;	1738751547.000;	   +0.789
20250205;	113232;	1738751552.000;	   +0.329
20250205;	113237;	1738751557.000;	   +0.000
20250205;	113242;	1738751562.000;	   +0.344
20250205;	113247;	1738751567.000;	   +0.000
20250205;	113252;	1738751572.000;	   +0.000
20250205;	113257;	1738751577.000;	   +0.855
20250205;	113302;	1738751582.000;	   +0.923
20250205;	113307;	1738751587.000;	   +1.092
20250205;	113312;	1738751592.000;	   +0.000
20250205;	113317;	1738751597.000;	   +0.000
20250205;	113322;	1738751602.000;	   +0.000
20250205;	113327;	1738751607.000;	   +0.000
20250205;	113332;	1738751612.000;	   +0.000
20250205;	113337;	1738751617.000;	   +0.736
20250205;	113342;	1738751622.000;	   +0.000
20250205;	113347;	1738751627.000;	    err32
20250205;	113352;	1738751632.000;	    err32
20250205;	113357;	1738751637.000;	    err32
20250205;	113402;	1738751642.000;	    err32
20250205;	113407;	1738751647.000;	    err32
20250205;	113412;	1738751652.000;	    err32
20250205;	113417;	1738751657.000;	    err32
20250205;	113422;	1738751662.000;	    err32
20250205;	113427;	1738751667.000;	    err32
20250205;	113432;	1738751672.000;	    err32
20250205;	113437;	1738751677.000;	    err32
20250205;	113442;	1738751682.000;	    err32
20250205;	113447;	1738751687.000;	    err32
20250205;	113452;	1738751692.000;	    err32
20250205;	113457;	1738751697.000;	    err32
20250205;	113502;	1738751702.000;	    err32
