#ies_format_version: 1.0
#file: 20241218_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241218;	103252;	1734514372.000;	    err20
20241218;	103257;	1734514377.000;	    err20
20241218;	103302;	1734514382.000;	   +0.187
20241218;	103307;	1734514387.000;	   +0.195
20241218;	103312;	1734514392.000;	   +0.190
20241218;	103317;	1734514397.000;	   +0.193
20241218;	103322;	1734514402.000;	   +0.194
20241218;	103327;	1734514407.000;	   +0.194
20241218;	103332;	1734514412.000;	   +0.191
20241218;	103337;	1734514417.000;	   +0.189
20241218;	103342;	1734514422.000;	   +0.192
20241218;	103347;	1734514427.000;	   +0.192
20241218;	103352;	1734514432.000;	   +0.200
20241218;	103357;	1734514437.000;	   +0.195
20241218;	103402;	1734514442.000;	   +0.195
20241218;	103407;	1734514447.000;	   +0.196
20241218;	103412;	1734514452.000;	   +0.195
20241218;	103417;	1734514457.000;	   +0.206
20241218;	103422;	1734514462.000;	   +0.198
20241218;	103427;	1734514467.000;	   +0.182
20241218;	103432;	1734514472.000;	   +0.196
20241218;	103437;	1734514477.000;	   +0.195
20241218;	103442;	1734514482.000;	    err32
20241218;	103447;	1734514487.000;	    err32
20241218;	103452;	1734514492.000;	    err32
20241218;	103457;	1734514497.000;	    err32
20241218;	103502;	1734514502.000;	    err32
20241218;	103507;	1734514507.000;	    err32
20241218;	103512;	1734514512.000;	    err32
20241218;	103517;	1734514517.000;	    err32
20241218;	103522;	1734514522.000;	    err32
20241218;	103527;	1734514527.000;	    err32
20241218;	103532;	1734514532.000;	    err32
20241218;	103537;	1734514537.000;	    err32
20241218;	103542;	1734514542.000;	    err32
20241218;	103547;	1734514547.000;	    err32
20241218;	103552;	1734514552.000;	    err32
20241218;	103557;	1734514557.000;	    err32
20241218;	103602;	1734514562.000;	    err32
20241218;	103607;	1734514567.000;	    err32
20241218;	103612;	1734514572.000;	    err32
20241218;	103617;	1734514577.000;	    err32
20241218;	103622;	1734514582.000;	    err32
20241218;	103627;	1734514587.000;	    err32
20241218;	103632;	1734514592.000;	    err32
20241218;	103637;	1734514597.000;	    err32
20241218;	103642;	1734514602.000;	    err32
20241218;	103647;	1734514607.000;	    err32
20241218;	103652;	1734514612.000;	    err32
20241218;	103657;	1734514617.000;	    err32
20241218;	103702;	1734514622.000;	    err32
20241218;	103707;	1734514627.000;	    err32
20241218;	103712;	1734514632.000;	    err32
20241218;	103717;	1734514637.000;	    err32
20241218;	103722;	1734514642.000;	    err32
20241218;	103727;	1734514647.000;	    err32
20241218;	103732;	1734514652.000;	    err32
20241218;	103737;	1734514657.000;	    err32
20241218;	103742;	1734514662.000;	    err32
20241218;	103747;	1734514667.000;	    err32
20241218;	103752;	1734514672.000;	    err32
20241218;	103757;	1734514677.000;	    err32
20241218;	103802;	1734514682.000;	    err32
20241218;	103807;	1734514687.000;	    err32
20241218;	103812;	1734514692.000;	    err32
20241218;	103817;	1734514697.000;	    err32
20241218;	103822;	1734514702.000;	    err32
20241218;	103827;	1734514707.000;	    err32
20241218;	103832;	1734514712.000;	    err32
