#ies_format_version: 1.0
#file: 20241211_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241211;	111322;	1733912002.000;	   +0.132
20241211;	111327;	1733912007.000;	   +0.137
20241211;	111332;	1733912012.000;	   +0.126
20241211;	111337;	1733912017.000;	   +0.132
20241211;	111342;	1733912022.000;	   +0.129
20241211;	111347;	1733912027.000;	   +0.128
20241211;	111352;	1733912032.000;	   +0.129
20241211;	111357;	1733912037.000;	   +0.129
20241211;	111402;	1733912042.000;	   +0.130
20241211;	111407;	1733912047.000;	   +0.128
20241211;	111412;	1733912052.000;	   +0.129
20241211;	111417;	1733912057.000;	   +0.134
20241211;	111422;	1733912062.000;	   +0.111
20241211;	111427;	1733912067.000;	   +0.057
20241211;	111432;	1733912072.000;	   +0.065
20241211;	111437;	1733912077.000;	   +0.065
20241211;	111442;	1733912082.000;	   +0.062
20241211;	111447;	1733912087.000;	   +0.064
20241211;	111452;	1733912092.000;	   +0.064
20241211;	111457;	1733912097.000;	   +0.065
20241211;	111502;	1733912102.000;	   +0.067
20241211;	111507;	1733912107.000;	   +0.066
20241211;	111512;	1733912112.000;	   +0.065
20241211;	111517;	1733912117.000;	   +0.066
20241211;	111522;	1733912122.000;	   +0.067
20241211;	111527;	1733912127.000;	   +0.068
20241211;	111532;	1733912132.000;	   +0.065
20241211;	111537;	1733912137.000;	   +0.064
20241211;	111542;	1733912142.000;	   +0.068
20241211;	111547;	1733912147.000;	   +0.068
20241211;	111552;	1733912152.000;	   +0.065
20241211;	111557;	1733912157.000;	   +0.068
20241211;	111602;	1733912162.000;	   +0.070
20241211;	111607;	1733912167.000;	   +0.066
20241211;	111612;	1733912172.000;	   +0.068
20241211;	111617;	1733912177.000;	   +0.067
20241211;	111622;	1733912182.000;	   +0.066
20241211;	111627;	1733912187.000;	   +0.067
20241211;	111632;	1733912192.000;	   +0.065
20241211;	111637;	1733912197.000;	   +0.067
20241211;	111642;	1733912202.000;	   +0.067
20241211;	111647;	1733912207.000;	   +0.066
20241211;	111652;	1733912212.000;	   +0.068
20241211;	111657;	1733912217.000;	   +0.067
20241211;	111702;	1733912222.000;	   +0.066
20241211;	111707;	1733912227.000;	   +0.065
20241211;	111712;	1733912232.000;	   +0.067
20241211;	111717;	1733912237.000;	   +0.067
20241211;	111722;	1733912242.000;	   +0.067
20241211;	111727;	1733912247.000;	   +0.067
20241211;	111732;	1733912252.000;	   +0.067
