#ies_format_version: 1.0
#file: 20250128_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20250128;	104515;	1738057515.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20250128;	104520;	1738057520.000;	   +2.504;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.003;	   +0.000
20250128;	104525;	1738057525.000;	   +2.495;	   +0.009;	   -2.373;	   +0.016;	    err28;	    err28;	idle                ;	   +0.007;	   +0.000
20250128;	104530;	1738057530.000;	   +2.475;	   +0.009;	   -2.350;	   +0.017;	   +0.017;	   +2.504;	idle                ;	   +0.010;	   +0.000
20250128;	104535;	1738057535.000;	   +2.472;	   +0.009;	   -2.353;	   +0.017;	   +0.016;	   +2.495;	idle                ;	   +0.013;	   +0.000
20250128;	104540;	1738057540.000;	   +2.469;	   +0.009;	   -2.346;	   +0.017;	   +0.017;	   +2.475;	idle                ;	   +0.016;	   +0.000
20250128;	104545;	1738057545.000;	   +2.465;	   +0.009;	   -2.340;	   +0.017;	   +0.017;	   +2.472;	idle                ;	   +0.020;	   +0.000
20250128;	104550;	1738057550.000;	   +2.462;	   +0.009;	   -2.339;	   +0.017;	   +0.017;	   +2.469;	idle                ;	   +0.023;	   +0.000
20250128;	104555;	1738057555.000;	   +2.455;	   +0.009;	   -2.325;	   +0.016;	   +0.017;	   +2.465;	idle                ;	   +0.026;	   +0.000
20250128;	104600;	1738057560.000;	   +2.448;	   +0.009;	   -2.330;	   +0.017;	   +0.017;	   +2.462;	idle                ;	   +0.029;	   +0.000
