#ies_format_version: 1.0
#file: 20241224_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241224;	113955;	1735036795.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241224;	114000;	1735036800.000;	   +3.001;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.004;	   +0.000
20241224;	114005;	1735036805.000;	   +3.046;	   +0.009;	   -2.944;	   +0.017;	    err28;	    err28;	idle                ;	   +0.008;	   +0.000
20241224;	114010;	1735036810.000;	   +3.185;	   +0.009;	   -3.233;	   +0.018;	   +0.017;	   +3.001;	idle                ;	   +0.013;	   +0.000
20241224;	114015;	1735036815.000;	   +3.167;	   +0.009;	   -3.046;	   +0.017;	   +0.017;	   +3.046;	idle                ;	   +0.017;	   +0.000
20241224;	114020;	1735036820.000;	   +2.988;	   +0.009;	   -2.978;	   +0.017;	   +0.018;	   +3.185;	idle                ;	   +0.021;	   +0.000
20241224;	114025;	1735036825.000;	   +2.927;	   +0.009;	   -2.855;	   +0.016;	   +0.017;	   +3.167;	idle                ;	   +0.025;	   +0.000
20241224;	114030;	1735036830.000;	   +2.931;	   +0.009;	   -2.855;	   +0.017;	   +0.017;	   +2.988;	idle                ;	   +0.029;	   +0.000
20241224;	114035;	1735036835.000;	   +2.946;	   +0.009;	   -2.866;	   +0.017;	   +0.016;	   +2.927;	idle                ;	   +0.033;	   +0.000
20241224;	114040;	1735036840.000;	   +2.959;	   +0.009;	   -2.884;	   +0.017;	   +0.017;	   +2.931;	idle                ;	   +0.037;	   +0.000
