#ies_format_version: 1.0
#file: 20250128_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250128;	104512;	1738057512.000;	    err20
20250128;	104517;	1738057517.000;	   +0.118
20250128;	104522;	1738057522.000;	   +0.122
20250128;	104527;	1738057527.000;	   +0.125
20250128;	104532;	1738057532.000;	   +0.119
20250128;	104537;	1738057537.000;	   +0.123
20250128;	104542;	1738057542.000;	   +0.125
20250128;	104547;	1738057547.000;	   +0.123
20250128;	104552;	1738057552.000;	   +0.130
20250128;	104557;	1738057557.000;	   +0.118
20250128;	104602;	1738057562.000;	   +0.111
20250128;	104607;	1738057567.000;	   +0.126
20250128;	104612;	1738057572.000;	   +0.125
20250128;	104617;	1738057577.000;	   +0.120
20250128;	104622;	1738057582.000;	   +0.124
20250128;	104627;	1738057587.000;	   +0.115
20250128;	104632;	1738057592.000;	   +0.118
20250128;	104637;	1738057597.000;	   +0.122
20250128;	104642;	1738057602.000;	   +0.125
20250128;	104647;	1738057607.000;	   +0.125
20250128;	104652;	1738057612.000;	   +0.121
20250128;	104657;	1738057617.000;	   +0.127
20250128;	104702;	1738057622.000;	   +0.125
20250128;	104707;	1738057627.000;	   +0.122
20250128;	104712;	1738057632.000;	   +0.124
20250128;	104717;	1738057637.000;	   +0.132
20250128;	104722;	1738057642.000;	   +0.129
20250128;	104727;	1738057647.000;	   +0.125
20250128;	104732;	1738057652.000;	   +0.128
20250128;	104737;	1738057657.000;	   +0.125
20250128;	104742;	1738057662.000;	   +0.130
20250128;	104747;	1738057667.000;	   +0.125
20250128;	104752;	1738057672.000;	   +0.122
20250128;	104757;	1738057677.000;	   +0.125
20250128;	104802;	1738057682.000;	   +0.129
20250128;	104807;	1738057687.000;	   +0.129
20250128;	104812;	1738057692.000;	   +0.131
20250128;	104817;	1738057697.000;	   +0.129
20250128;	104822;	1738057702.000;	   +0.126
20250128;	104827;	1738057707.000;	   +0.121
20250128;	104832;	1738057712.000;	   +0.126
20250128;	104837;	1738057717.000;	   +0.129
20250128;	104842;	1738057722.000;	   +0.129
20250128;	104847;	1738057727.000;	   +0.132
20250128;	104852;	1738057732.000;	   +0.117
20250128;	104857;	1738057737.000;	   +0.264
20250128;	104902;	1738057742.000;	   +0.098
20250128;	104907;	1738057747.000;	   +0.143
20250128;	104912;	1738057752.000;	   +0.138
20250128;	104917;	1738057757.000;	    err32
20250128;	104922;	1738057762.000;	    err32
20250128;	104927;	1738057767.000;	    err32
20250128;	104932;	1738057772.000;	    err32
20250128;	104937;	1738057777.000;	    err32
20250128;	104942;	1738057782.000;	    err32
20250128;	104947;	1738057787.000;	    err32
20250128;	104952;	1738057792.000;	    err32
20250128;	104957;	1738057797.000;	    err32
20250128;	105002;	1738057802.000;	    err32
20250128;	105007;	1738057807.000;	    err32
20250128;	105012;	1738057812.000;	    err32
20250128;	105017;	1738057817.000;	    err32
20250128;	105022;	1738057822.000;	    err32
20250128;	105027;	1738057827.000;	    err32
20250128;	105032;	1738057832.000;	    err32
20250128;	105037;	1738057837.000;	    err32
20250128;	105042;	1738057842.000;	    err32
20250128;	105047;	1738057847.000;	    err32
20250128;	105052;	1738057852.000;	    err32
20250128;	105057;	1738057857.000;	    err32
20250128;	105102;	1738057862.000;	    err32
20250128;	105107;	1738057867.000;	    err32
20250128;	105112;	1738057872.000;	    err32
20250128;	105117;	1738057877.000;	    err32
20250128;	105122;	1738057882.000;	    err32
20250128;	105127;	1738057887.000;	    err32
20250128;	105132;	1738057892.000;	    err32
20250128;	105137;	1738057897.000;	    err32
20250128;	105142;	1738057902.000;	    err32
20250128;	105147;	1738057907.000;	    err32
20250128;	105152;	1738057912.000;	    err32
20250128;	105157;	1738057917.000;	    err32
20250128;	105202;	1738057922.000;	    err32
20250128;	105207;	1738057927.000;	    err32
20250128;	105212;	1738057932.000;	    err32
20250128;	105217;	1738057937.000;	    err32
20250128;	105222;	1738057942.000;	    err32
20250128;	105227;	1738057947.000;	    err32
20250128;	105232;	1738057952.000;	    err32
20250128;	105237;	1738057957.000;	    err32
20250128;	105242;	1738057962.000;	    err32
20250128;	105247;	1738057967.000;	    err32
20250128;	105252;	1738057972.000;	    err32
20250128;	105257;	1738057977.000;	    err32
20250128;	105302;	1738057982.000;	    err32
20250128;	105307;	1738057987.000;	   +0.125
20250128;	105312;	1738057992.000;	   +0.125
20250128;	105317;	1738057997.000;	   +0.131
20250128;	105322;	1738058002.000;	   +0.129
20250128;	105327;	1738058007.000;	   +0.126
20250128;	105332;	1738058012.000;	   +0.129
20250128;	105337;	1738058017.000;	   +0.135
