#ies_format_version: 1.0
#file: 20241223_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241223;	142707;	1734960427.000;	    err11
20241223;	142712;	1734960432.000;	   +2.864
20241223;	142717;	1734960437.000;	   +3.361
20241223;	142722;	1734960442.000;	   +2.656
20241223;	142727;	1734960447.000;	   +1.580
20241223;	142732;	1734960452.000;	   +0.809
20241223;	142737;	1734960457.000;	   +2.617
20241223;	142742;	1734960462.000;	   +3.453
20241223;	142747;	1734960467.000;	   +4.744
20241223;	142752;	1734960472.000;	   +1.120
20241223;	142757;	1734960477.000;	   +2.881
20241223;	142802;	1734960482.000;	    err32
20241223;	142807;	1734960487.000;	    err32
20241223;	142812;	1734960492.000;	    err32
20241223;	142817;	1734960497.000;	    err32
20241223;	142822;	1734960502.000;	    err20
20241223;	142827;	1734960507.000;	   +2.875
20241223;	142832;	1734960512.000;	   +2.881
20241223;	142837;	1734960517.000;	   +2.899
20241223;	142842;	1734960522.000;	   +2.813
20241223;	142847;	1734960527.000;	   +2.905
20241223;	142852;	1734960532.000;	   +2.918
20241223;	142857;	1734960537.000;	   +2.933
20241223;	142902;	1734960542.000;	   +2.892
20241223;	142907;	1734960547.000;	   +2.921
20241223;	142912;	1734960552.000;	   +3.055
20241223;	142917;	1734960557.000;	   +2.793
20241223;	142922;	1734960562.000;	   +2.836
20241223;	142927;	1734960567.000;	   +2.791
20241223;	142932;	1734960572.000;	   +2.830
20241223;	142937;	1734960577.000;	   +2.837
20241223;	142942;	1734960582.000;	   +2.846
20241223;	142947;	1734960587.000;	   +2.863
20241223;	142952;	1734960592.000;	   +2.867
20241223;	142957;	1734960597.000;	   +2.874
20241223;	143002;	1734960602.000;	   +2.874
20241223;	143007;	1734960607.000;	   +2.871
20241223;	143012;	1734960612.000;	   +2.868
20241223;	143017;	1734960617.000;	   +2.877
20241223;	143022;	1734960622.000;	   +2.869
20241223;	143027;	1734960627.000;	   +2.874
20241223;	143032;	1734960632.000;	   +2.871
20241223;	143037;	1734960637.000;	   +2.868
20241223;	143042;	1734960642.000;	   +2.869
20241223;	143047;	1734960647.000;	   +2.862
20241223;	143052;	1734960652.000;	   +0.699
20241223;	143057;	1734960657.000;	   +0.692
20241223;	143102;	1734960662.000;	   +0.686
20241223;	143107;	1734960667.000;	   +0.695
20241223;	143112;	1734960672.000;	   +0.700
20241223;	143117;	1734960677.000;	   +0.704
20241223;	143122;	1734960682.000;	   +0.706
20241223;	143127;	1734960687.000;	   +0.707
20241223;	143132;	1734960692.000;	   +0.707
20241223;	143137;	1734960697.000;	   +0.718
20241223;	143142;	1734960702.000;	   +0.725
20241223;	143147;	1734960707.000;	   +3.971
20241223;	143152;	1734960712.000;	   +0.000
20241223;	143157;	1734960717.000;	   +0.500
20241223;	143202;	1734960722.000;	   +0.263
20241223;	143207;	1734960727.000;	   +1.452
20241223;	143212;	1734960732.000;	   +0.579
