#ies_format_version: 1.0
#file: 20250123_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250123;	090932;	1737619772.000;	    err20
20250123;	090937;	1737619777.000;	   +0.740
20250123;	090942;	1737619782.000;	   +0.738
20250123;	090947;	1737619787.000;	   +0.748
20250123;	090952;	1737619792.000;	   +0.749
20250123;	090957;	1737619797.000;	   +0.747
20250123;	091002;	1737619802.000;	   +0.751
20250123;	091007;	1737619807.000;	    err32
20250123;	091012;	1737619812.000;	    err32
20250123;	091017;	1737619817.000;	    err32
20250123;	091022;	1737619822.000;	    err32
20250123;	091027;	1737619827.000;	    err32
20250123;	091032;	1737619832.000;	    err32
20250123;	091037;	1737619837.000;	    err32
20250123;	091042;	1737619842.000;	    err32
20250123;	091047;	1737619847.000;	    err32
20250123;	091052;	1737619852.000;	    err32
20250123;	091057;	1737619857.000;	    err32
20250123;	091102;	1737619862.000;	    err32
20250123;	091107;	1737619867.000;	    err32
20250123;	091112;	1737619872.000;	    err32
20250123;	091117;	1737619877.000;	    err32
20250123;	091122;	1737619882.000;	    err32
20250123;	091127;	1737619887.000;	    err32
20250123;	091132;	1737619892.000;	    err32
20250123;	091137;	1737619897.000;	    err32
20250123;	091142;	1737619902.000;	    err32
20250123;	091147;	1737619907.000;	    err32
20250123;	091152;	1737619912.000;	    err32
20250123;	091157;	1737619917.000;	    err32
20250123;	091202;	1737619922.000;	    err32
20250123;	091207;	1737619927.000;	    err32
20250123;	091212;	1737619932.000;	    err32
20250123;	091217;	1737619937.000;	    err32
20250123;	091222;	1737619942.000;	    err32
20250123;	091227;	1737619947.000;	    err32
20250123;	091232;	1737619952.000;	    err32
20250123;	091237;	1737619957.000;	    err32
20250123;	091242;	1737619962.000;	    err32
20250123;	091247;	1737619967.000;	    err32
20250123;	091252;	1737619972.000;	    err32
20250123;	091257;	1737619977.000;	    err32
20250123;	091302;	1737619982.000;	    err32
20250123;	091307;	1737619987.000;	    err32
20250123;	091312;	1737619992.000;	    err32
20250123;	091317;	1737619997.000;	    err32
20250123;	091322;	1737620002.000;	    err32
20250123;	091327;	1737620007.000;	    err32
