#ies_format_version: 1.0
#file: 20241217_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241217;	141830;	1734441510.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241217;	141835;	1734441515.000;	   +8.906;	   +0.562;	   -8.194;	   +0.017;	    err28;	    err28;	idle                ;	   +0.011;	   +0.000
20241217;	141840;	1734441520.000;	   +8.944;	   +0.561;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.023;	   +0.000
20241217;	141845;	1734441525.000;	   +8.981;	   +0.561;	   -8.251;	   +0.017;	   +0.017;	   +8.906;	idle                ;	   +0.034;	   +0.000
20241217;	141850;	1734441530.000;	   +9.020;	   +0.559;	   -8.292;	   +0.016;	   +0.017;	   +8.944;	idle                ;	   +0.046;	   +0.000
20241217;	141855;	1734441535.000;	   +9.042;	   +0.556;	   -8.321;	   +0.017;	   +0.017;	   +8.981;	idle                ;	   +0.057;	   +0.000
20241217;	141900;	1734441540.000;	   +2.119;	   +0.552;	   -2.103;	   +0.017;	   +0.016;	   +9.020;	idle                ;	   +0.060;	   +0.000
20241217;	141905;	1734441545.000;	   +1.983;	   +0.551;	   -1.284;	   +0.017;	   +0.017;	   +9.042;	idle                ;	   +0.062;	   +0.000
20241217;	141910;	1734441550.000;	   +1.997;	   +0.552;	   -1.288;	   +0.017;	   +0.017;	   +2.119;	idle                ;	   +0.064;	   +0.000
20241217;	141915;	1734441555.000;	   +2.032;	   +0.552;	   -1.323;	   +0.016;	   +0.017;	   +1.983;	idle                ;	   +0.066;	   +0.000
20241217;	141920;	1734441560.000;	   +2.108;	   +0.553;	   -1.399;	   +0.017;	   +0.017;	   +1.997;	idle                ;	   +0.068;	   +0.000
20241217;	141925;	1734441565.000;	   +2.185;	   +0.554;	   -1.473;	   +0.016;	   +0.016;	   +2.032;	idle                ;	   +0.070;	   +0.000
20241217;	141930;	1734441570.000;	   +2.278;	   +0.555;	   -1.564;	   +0.016;	   +0.017;	   +2.108;	idle                ;	   +0.072;	   +0.000
20241217;	141935;	1734441575.000;	   +2.415;	   +0.558;	   -1.689;	   +0.017;	   +0.016;	   +2.185;	idle                ;	   +0.074;	   +0.000
20241217;	141940;	1734441580.000;	   +6.276;	   +0.562;	   -4.215;	   +0.016;	   +0.016;	   +2.278;	idle                ;	   +0.080;	   +0.000
20241217;	141945;	1734441585.000;	   +8.854;	   +0.563;	   -8.374;	   +0.017;	   +0.017;	   +2.415;	idle                ;	   +0.092;	   +0.000
20241217;	141950;	1734441590.000;	   +8.871;	   +0.564;	   -8.629;	   +0.017;	   +0.016;	   +6.276;	idle                ;	   +0.104;	   +0.000
20241217;	141955;	1734441595.000;	   +5.425;	   +0.565;	   -5.110;	   +0.017;	   +0.017;	   +8.854;	idle                ;	   +0.111;	   +0.000
20241217;	142000;	1734441600.000;	   +8.569;	   +0.566;	   -7.069;	   +0.017;	   +0.017;	   +8.871;	idle                ;	   +0.121;	   +0.000
20241217;	142005;	1734441605.000;	   +9.289;	   +0.565;	   -8.468;	   +0.017;	   +0.017;	   +5.425;	idle                ;	   +0.132;	   +0.000
20241217;	142010;	1734441610.000;	   +9.332;	   +0.563;	   -8.596;	   +0.017;	   +0.017;	   +8.569;	idle                ;	   +0.144;	   +0.000
20241217;	142015;	1734441615.000;	   +9.164;	   +0.562;	   -8.450;	   +0.017;	   +0.017;	   +9.289;	idle                ;	   +0.156;	   +0.000
20241217;	142020;	1734441620.000;	   +9.046;	   +0.560;	   -8.367;	   +0.017;	   +0.017;	   +9.332;	idle                ;	   +0.168;	   +0.000
20241217;	142025;	1734441625.000;	   +2.696;	   +0.556;	   -2.276;	   +0.017;	   +0.017;	   +9.164;	idle                ;	   +0.171;	   +0.000
20241217;	142030;	1734441630.000;	   +2.421;	   +0.556;	   -1.727;	   +0.017;	   +0.017;	   +9.046;	idle                ;	   +0.173;	   +0.000
20241217;	142035;	1734441635.000;	   +2.154;	   +0.555;	   -1.462;	   +0.017;	   +0.017;	   +2.696;	idle                ;	   +0.175;	   +0.000
20241217;	142040;	1734441640.000;	   +2.054;	   +0.557;	   -1.360;	   +0.016;	   +0.017;	   +2.421;	idle                ;	   +0.177;	   +0.000
20241217;	142045;	1734441645.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142050;	1734441650.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142055;	1734441655.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142100;	1734441660.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142105;	1734441665.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142110;	1734441670.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142115;	1734441675.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142120;	1734441680.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142125;	1734441685.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241217;	142130;	1734441690.000;	   +2.615;	   +0.566;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.002;	   +0.000
20241217;	142135;	1734441695.000;	   +4.551;	   +0.567;	   -3.247;	   +0.017;	    err28;	    err28;	idle                ;	   +0.007;	   +0.000
20241217;	142140;	1734441700.000;	   +8.815;	   +0.566;	   -8.056;	   +0.016;	   +0.017;	   +2.615;	idle                ;	   +0.018;	   +0.000
20241217;	142145;	1734441705.000;	   +8.732;	   +0.564;	   -8.018;	   +0.017;	   +0.017;	   +4.551;	idle                ;	   +0.029;	   +0.000
20241217;	142150;	1734441710.000;	   +8.704;	   +0.563;	   -7.999;	   +0.017;	   +0.016;	   +8.815;	idle                ;	   +0.040;	   +0.000
20241217;	142155;	1734441715.000;	   +7.192;	   +0.562;	   -6.166;	   +0.017;	   +0.017;	   +8.732;	idle                ;	   +0.049;	   +0.000
20241217;	142200;	1734441720.000;	   +8.562;	   +0.562;	   -7.833;	   +0.017;	   +0.017;	   +8.704;	idle                ;	   +0.060;	   +0.000
20241217;	142205;	1734441725.000;	   +8.534;	   +0.561;	   -7.824;	   +0.017;	   +0.017;	   +7.192;	idle                ;	   +0.071;	   +0.000
20241217;	142210;	1734441730.000;	   +8.586;	   +0.564;	   -7.863;	   +0.017;	   +0.017;	   +8.562;	idle                ;	   +0.081;	   +0.000
20241217;	142215;	1734441735.000;	   +8.574;	   +0.564;	   -7.876;	   +0.017;	   +0.017;	   +8.534;	idle                ;	   +0.092;	   +0.000
20241217;	142220;	1734441740.000;	   +7.649;	   +0.565;	   -6.579;	   +0.017;	   +0.017;	   +8.586;	idle                ;	   +0.102;	   +0.000
20241217;	142225;	1734441745.000;	   +7.871;	   +0.566;	   -7.287;	   +0.017;	   +0.017;	   +8.574;	idle                ;	   +0.112;	   +0.000
20241217;	142230;	1734441750.000;	   +7.205;	   +0.567;	   -7.204;	   +0.017;	   +0.017;	   +7.649;	idle                ;	   +0.122;	   +0.000
20241217;	142235;	1734441755.000;	   +3.276;	   +0.567;	   -2.600;	   +0.017;	   +0.017;	   +7.871;	idle                ;	   +0.125;	   +0.000
20241217;	142240;	1734441760.000;	   +8.535;	   +0.570;	   -7.776;	   +0.017;	   +0.017;	   +7.205;	idle                ;	   +0.136;	   +0.000
20241217;	142245;	1734441765.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142250;	1734441770.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142255;	1734441775.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142300;	1734441780.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142305;	1734441785.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142310;	1734441790.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142315;	1734441795.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142320;	1734441800.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142325;	1734441805.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142330;	1734441810.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142335;	1734441815.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142340;	1734441820.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142345;	1734441825.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142350;	1734441830.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142355;	1734441835.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142400;	1734441840.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142405;	1734441845.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142410;	1734441850.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142415;	1734441855.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241217;	142420;	1734441860.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
