#ies_format_version: 1.0
#file: 20250204_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20250204;	095115;	1738659075.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20250204;	095120;	1738659080.000;	   +3.100;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.004;	   +0.000
20250204;	095125;	1738659085.000;	   +3.084;	   +0.009;	   -2.955;	   +0.017;	    err28;	    err28;	idle                ;	   +0.008;	   +0.000
20250204;	095130;	1738659090.000;	   +3.141;	   +0.009;	   -2.966;	   +0.017;	   +0.017;	   +3.100;	idle                ;	   +0.012;	   +0.000
20250204;	095135;	1738659095.000;	   +3.193;	   +0.009;	   -3.033;	   +0.017;	   +0.017;	   +3.084;	idle                ;	   +0.017;	   +0.000
20250204;	095140;	1738659100.000;	   +3.076;	   +0.009;	   -2.946;	   +0.016;	   +0.017;	   +3.141;	idle                ;	   +0.021;	   +0.000
20250204;	095145;	1738659105.000;	   +2.970;	   +0.009;	   -2.825;	   +0.016;	   +0.017;	   +3.193;	idle                ;	   +0.025;	   +0.000
20250204;	095150;	1738659110.000;	   +2.926;	   +0.009;	   -2.767;	   +0.017;	   +0.016;	   +3.076;	idle                ;	   +0.028;	   +0.000
20250204;	095155;	1738659115.000;	   +2.934;	   +0.009;	   -2.768;	   +0.017;	   +0.016;	   +2.970;	idle                ;	   +0.032;	   +0.000
20250204;	095200;	1738659120.000;	   +2.989;	   +0.009;	   -2.827;	   +0.016;	   +0.017;	   +2.926;	idle                ;	   +0.036;	   +0.000
20250204;	095205;	1738659125.000;	   +2.942;	   +0.009;	   -2.747;	   +0.016;	   +0.017;	   +2.934;	idle                ;	   +0.040;	   +0.000
20250204;	095210;	1738659130.000;	   +2.937;	   +0.009;	   -2.781;	   +0.017;	   +0.016;	   +2.989;	idle                ;	   +0.044;	   +0.000
20250204;	095215;	1738659135.000;	   +3.009;	   +0.009;	   -2.859;	   +0.017;	   +0.016;	   +2.942;	idle                ;	   +0.048;	   +0.000
20250204;	095220;	1738659140.000;	   +2.850;	   +0.009;	   -2.768;	   +0.016;	   +0.017;	   +2.937;	idle                ;	   +0.052;	   +0.000
20250204;	095225;	1738659145.000;	   +2.750;	   +0.009;	   -2.586;	   +0.017;	   +0.017;	   +3.009;	idle                ;	   +0.055;	   +0.000
20250204;	095230;	1738659150.000;	   +2.652;	   +0.009;	   -2.555;	   +0.017;	   +0.016;	   +2.850;	idle                ;	   +0.059;	   +0.000
20250204;	095235;	1738659155.000;	   +2.561;	   +0.009;	   -2.459;	   +0.017;	   +0.017;	   +2.750;	idle                ;	   +0.062;	   +0.000
20250204;	095240;	1738659160.000;	   +2.589;	   +0.008;	   -2.423;	   +0.016;	   +0.017;	   +2.652;	idle                ;	   +0.066;	   +0.000
20250204;	095245;	1738659165.000;	   +2.610;	   +0.009;	   -2.448;	   +0.017;	   +0.017;	   +2.561;	idle                ;	   +0.069;	   +0.000
20250204;	095250;	1738659170.000;	   +2.652;	   +0.009;	   -2.471;	   +0.017;	   +0.016;	   +2.589;	idle                ;	   +0.072;	   +0.000
20250204;	095255;	1738659175.000;	   +2.631;	   +0.009;	   -2.475;	   +0.017;	   +0.017;	   +2.610;	idle                ;	   +0.076;	   +0.000
