#ies_format_version: 1.0
#file: 20241211_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241211;	111320;	1733912000.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241211;	111325;	1733912005.000;	   +2.483;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.003;	   +0.000
20241211;	111330;	1733912010.000;	   +2.513;	   +0.009;	   -2.376;	   +0.017;	    err28;	    err28;	idle                ;	   +0.007;	   +0.000
20241211;	111335;	1733912015.000;	   +2.541;	   +0.009;	   -2.415;	   +0.016;	   +0.017;	   +2.483;	idle                ;	   +0.010;	   +0.000
20241211;	111340;	1733912020.000;	   +2.458;	   +0.009;	   -2.326;	   +0.018;	   +0.017;	   +2.513;	idle                ;	   +0.013;	   +0.000
20241211;	111345;	1733912025.000;	   +2.417;	   +0.009;	   -2.288;	   +0.016;	   +0.016;	   +2.541;	idle                ;	   +0.016;	   +0.000
20241211;	111350;	1733912030.000;	   +2.367;	   +0.009;	   -2.239;	   +0.017;	   +0.018;	   +2.458;	idle                ;	   +0.019;	   +0.000
20241211;	111355;	1733912035.000;	   +2.340;	   +0.009;	   -2.211;	   +0.016;	   +0.016;	   +2.417;	idle                ;	   +0.023;	   +0.000
20241211;	111400;	1733912040.000;	   +2.315;	   +0.008;	   -2.186;	   +0.017;	   +0.017;	   +2.367;	idle                ;	   +0.026;	   +0.000
20241211;	111405;	1733912045.000;	   +2.295;	   +0.009;	   -2.165;	   +0.017;	   +0.016;	   +2.340;	idle                ;	   +0.029;	   +0.000
