#ies_format_version: 1.0
#file: 20250127_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20250127;	153945;	1737988785.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20250127;	153950;	1737988790.000;	   +5.910;	   +0.030;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.004;	   +0.000
20250127;	153955;	1737988795.000;	   +6.100;	   +0.030;	   -3.521;	   +0.017;	    err28;	    err28;	idle                ;	   +0.009;	   +0.000
20250127;	154000;	1737988800.000;	   +7.236;	   +0.030;	   -4.092;	   +0.017;	   +0.017;	   +5.910;	idle                ;	   +0.015;	   +0.000
20250127;	154005;	1737988805.000;	   +2.884;	   +0.029;	   -0.974;	   +0.017;	   +0.017;	   +6.100;	idle                ;	   +0.016;	   +0.000
20250127;	154010;	1737988810.000;	   +2.516;	   +0.014;	   +0.058;	   +0.017;	   +0.017;	   +7.236;	idle                ;	   +0.016;	   +0.000
20250127;	154015;	1737988815.000;	   +2.469;	   +0.010;	   +0.051;	   +0.017;	   +0.017;	   +2.884;	idle                ;	   +0.016;	   +0.000
20250127;	154020;	1737988820.000;	   +2.329;	   +0.009;	   +0.237;	   +0.016;	   +0.017;	   +2.516;	idle                ;	   +0.016;	   +0.000
20250127;	154025;	1737988825.000;	   +2.269;	   +0.009;	   +0.312;	   +0.017;	   +0.017;	   +2.469;	idle                ;	   +0.016;	   +0.001
20250127;	154030;	1737988830.000;	   +2.230;	   +0.010;	   +0.345;	   +0.017;	   +0.016;	   +2.329;	idle                ;	   +0.016;	   +0.001
