#ies_format_version: 1.0
#file: 20250114_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250114;	114647;	1736851607.000;	    err20
20250114;	114652;	1736851612.000;	   +0.013
20250114;	114657;	1736851617.000;	   +0.043
20250114;	114702;	1736851622.000;	   +0.211
20250114;	114707;	1736851627.000;	   +0.214
20250114;	114712;	1736851632.000;	   +0.000
20250114;	114717;	1736851637.000;	   +0.070
20250114;	114722;	1736851642.000;	   +0.097
20250114;	114727;	1736851647.000;	   +0.069
20250114;	114732;	1736851652.000;	   +0.037
20250114;	114737;	1736851657.000;	   +0.075
20250114;	114742;	1736851662.000;	   +0.101
20250114;	114747;	1736851667.000;	   +0.098
20250114;	114752;	1736851672.000;	   +0.170
20250114;	114757;	1736851677.000;	   +0.390
20250114;	114802;	1736851682.000;	   +0.000
20250114;	114807;	1736851687.000;	   +0.000
20250114;	114812;	1736851692.000;	   +0.448
20250114;	114817;	1736851697.000;	   +0.010
20250114;	114822;	1736851702.000;	   +0.076
20250114;	114827;	1736851707.000;	   +0.000
20250114;	114832;	1736851712.000;	   +0.079
20250114;	114837;	1736851717.000;	   +0.169
20250114;	114842;	1736851722.000;	   +0.698
20250114;	114847;	1736851727.000;	   +0.000
20250114;	114852;	1736851732.000;	   +0.000
20250114;	114857;	1736851737.000;	   +0.352
20250114;	114902;	1736851742.000;	   +0.241
20250114;	114907;	1736851747.000;	   +0.000
20250114;	114912;	1736851752.000;	   +0.388
20250114;	114917;	1736851757.000;	    err32
20250114;	114922;	1736851762.000;	    err32
20250114;	114927;	1736851767.000;	    err32
20250114;	114932;	1736851772.000;	    err32
20250114;	114937;	1736851777.000;	    err32
20250114;	114942;	1736851782.000;	    err32
20250114;	114947;	1736851787.000;	    err32
20250114;	114952;	1736851792.000;	    err32
20250114;	114957;	1736851797.000;	    err32
20250114;	115002;	1736851802.000;	    err32
20250114;	115007;	1736851807.000;	    err32
20250114;	115012;	1736851812.000;	    err32
20250114;	115017;	1736851817.000;	    err32
20250114;	115022;	1736851822.000;	    err32
20250114;	115027;	1736851827.000;	    err32
20250114;	115032;	1736851832.000;	    err32
20250114;	115037;	1736851837.000;	    err32
20250114;	115042;	1736851842.000;	    err32
20250114;	115047;	1736851847.000;	    err32
20250114;	115052;	1736851852.000;	    err32
20250114;	115057;	1736851857.000;	    err32
20250114;	115102;	1736851862.000;	    err32
20250114;	115107;	1736851867.000;	    err32
20250114;	115112;	1736851872.000;	    err32
20250114;	115117;	1736851877.000;	    err32
20250114;	115122;	1736851882.000;	    err32
20250114;	115127;	1736851887.000;	    err32
20250114;	115132;	1736851892.000;	    err32
20250114;	115137;	1736851897.000;	    err32
20250114;	115142;	1736851902.000;	    err32
20250114;	115147;	1736851907.000;	    err32
20250114;	115152;	1736851912.000;	    err32
20250114;	115157;	1736851917.000;	    err32
20250114;	115202;	1736851922.000;	    err32
20250114;	115207;	1736851927.000;	    err32
20250114;	115212;	1736851932.000;	    err32
20250114;	115217;	1736851937.000;	    err32
20250114;	115222;	1736851942.000;	    err32
20250114;	115227;	1736851947.000;	    err32
20250114;	115232;	1736851952.000;	    err32
20250114;	115237;	1736851957.000;	    err32
20250114;	115242;	1736851962.000;	    err32
20250114;	115247;	1736851967.000;	    err32
20250114;	115252;	1736851972.000;	    err32
20250114;	115257;	1736851977.000;	    err32
20250114;	115302;	1736851982.000;	    err32
20250114;	115307;	1736851987.000;	    err32
20250114;	115312;	1736851992.000;	    err32
20250114;	115317;	1736851997.000;	    err32
20250114;	115322;	1736852002.000;	    err32
20250114;	115327;	1736852007.000;	    err32
20250114;	115332;	1736852012.000;	    err32
20250114;	115337;	1736852017.000;	    err32
20250114;	115342;	1736852022.000;	    err32
20250114;	115347;	1736852027.000;	    err32
20250114;	115352;	1736852032.000;	    err32
20250114;	115357;	1736852037.000;	    err32
20250114;	115402;	1736852042.000;	    err32
20250114;	115407;	1736852047.000;	    err32
20250114;	115412;	1736852052.000;	    err32
20250114;	115417;	1736852057.000;	    err32
20250114;	115422;	1736852062.000;	    err32
20250114;	115427;	1736852067.000;	    err32
20250114;	115432;	1736852072.000;	    err32
20250114;	115437;	1736852077.000;	    err32
20250114;	115442;	1736852082.000;	    err32
20250114;	115447;	1736852087.000;	    err32
20250114;	115452;	1736852092.000;	    err32
20250114;	115457;	1736852097.000;	    err32
20250114;	115502;	1736852102.000;	    err32
20250114;	115507;	1736852107.000;	    err32
20250114;	115512;	1736852112.000;	    err32
