#ies_format_version: 1.0
#file: 20241213_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241213;	112940;	1734085780.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112945;	1734085785.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112950;	1734085790.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112955;	1734085795.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113000;	1734085800.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113005;	1734085805.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113010;	1734085810.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113015;	1734085815.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113020;	1734085820.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113025;	1734085825.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113030;	1734085830.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113035;	1734085835.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113040;	1734085840.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113045;	1734085845.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113050;	1734085850.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241213;	113055;	1734085855.000;	   +3.546;	   +0.009;	   -3.470;	   +0.016;	    err28;	    err28;	idle                ;	   +0.005;	   +0.000
20241213;	113100;	1734085860.000;	   +3.564;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.010;	   +0.000
20241213;	113105;	1734085865.000;	   +3.850;	   +0.009;	   -3.637;	   +0.017;	   +0.016;	   +3.546;	idle                ;	   +0.015;	   +0.000
20241213;	113110;	1734085870.000;	   +4.261;	   +0.009;	   -4.313;	   +0.017;	   +0.017;	   +3.564;	idle                ;	   +0.021;	   +0.000
20241213;	113115;	1734085875.000;	   +7.860;	   +0.009;	   -7.944;	   +0.017;	   +0.017;	   +3.850;	idle                ;	   +0.032;	   +0.000
20241213;	113120;	1734085880.000;	   +8.232;	   +0.010;	   -7.711;	   +0.017;	   +0.017;	   +4.261;	idle                ;	   +0.042;	   +0.000
20241213;	113125;	1734085885.000;	   +6.808;	   +0.009;	   -7.935;	   +0.017;	   +0.017;	   +7.860;	idle                ;	   +0.053;	   +0.000
20241213;	113130;	1734085890.000;	   +5.976;	   +0.009;	   -5.334;	   +0.017;	   +0.017;	   +8.232;	idle                ;	   +0.061;	   +0.000
20241213;	113135;	1734085895.000;	   +7.818;	   +0.009;	   -8.296;	   +0.017;	   +0.017;	   +6.808;	idle                ;	   +0.072;	   +0.000
20241213;	113140;	1734085900.000;	   +4.550;	   +0.009;	   -4.700;	   +0.016;	   +0.017;	   +5.976;	idle                ;	   +0.079;	   +0.000
20241213;	113145;	1734085905.000;	   +4.912;	   +0.009;	   -4.735;	   +0.017;	   +0.017;	   +7.818;	idle                ;	   +0.086;	   +0.000
20241213;	113150;	1734085910.000;	   +4.540;	   +0.009;	   -4.736;	   +0.017;	   +0.016;	   +4.550;	idle                ;	   +0.092;	   +0.000
20241213;	113155;	1734085915.000;	   +8.590;	   +0.009;	   -8.084;	   +0.017;	   +0.017;	   +4.912;	idle                ;	   +0.103;	   +0.000
20241213;	113200;	1734085920.000;	   +8.491;	   +0.009;	   -8.483;	   +0.017;	   +0.017;	   +4.540;	idle                ;	   +0.115;	   +0.000
20241213;	113205;	1734085925.000;	   +8.443;	   +0.010;	   -8.282;	   +0.017;	   +0.017;	   +8.590;	idle                ;	   +0.127;	   +0.000
20241213;	113210;	1734085930.000;	   +5.011;	   +0.010;	   -5.198;	   +0.017;	   +0.017;	   +8.491;	idle                ;	   +0.134;	   +0.000
20241213;	113215;	1734085935.000;	   +8.772;	   +0.010;	   -8.102;	   +0.017;	   +0.017;	   +8.443;	idle                ;	   +0.145;	   +0.000
20241213;	113220;	1734085940.000;	   +5.838;	   +0.009;	   -6.554;	   +0.017;	   +0.017;	   +5.011;	idle                ;	   +0.154;	   +0.000
20241213;	113225;	1734085945.000;	   +6.005;	   +0.009;	   -6.712;	   +0.017;	   +0.017;	   +8.772;	idle                ;	   +0.163;	   +0.000
20241213;	113230;	1734085950.000;	   +6.191;	   +0.009;	   -5.402;	   +0.017;	   +0.017;	   +5.838;	idle                ;	   +0.171;	   +0.000
20241213;	113235;	1734085955.000;	   +8.583;	   +0.009;	   -8.254;	   +0.017;	   +0.017;	   +6.005;	idle                ;	   +0.182;	   +0.000
20241213;	113240;	1734085960.000;	   +8.601;	   +0.010;	   -8.612;	   +0.017;	   +0.017;	   +6.191;	idle                ;	   +0.194;	   +0.000
20241213;	113245;	1734085965.000;	   +8.698;	   +0.009;	   -8.354;	   +0.017;	   +0.017;	   +8.583;	idle                ;	   +0.206;	   +0.000
20241213;	113250;	1734085970.000;	   +8.596;	   +0.009;	   -8.686;	   +0.017;	   +0.017;	   +8.601;	idle                ;	   +0.218;	   +0.000
20241213;	113255;	1734085975.000;	   +6.651;	   +0.009;	   -6.956;	   +0.018;	   +0.017;	   +8.698;	idle                ;	   +0.228;	   +0.000
20241213;	113300;	1734085980.000;	   +7.583;	   +0.010;	   -6.728;	   +0.017;	   +0.017;	   +8.596;	idle                ;	   +0.237;	   +0.000
20241213;	113305;	1734085985.000;	   +7.553;	   +0.009;	   -6.630;	   +0.017;	   +0.018;	   +6.651;	idle                ;	   +0.246;	   +0.000
20241213;	113310;	1734085990.000;	   +7.223;	   +0.009;	   -6.131;	   +0.017;	   +0.017;	   +7.583;	idle                ;	   +0.255;	   +0.000
20241213;	113315;	1734085995.000;	   +8.291;	   +0.009;	   -8.499;	   +0.017;	   +0.017;	   +7.553;	idle                ;	   +0.267;	   +0.000
20241213;	113320;	1734086000.000;	   +5.864;	   +0.009;	   -7.200;	   +0.017;	   +0.017;	   +7.223;	idle                ;	   +0.277;	   +0.000
20241213;	113325;	1734086005.000;	   +5.816;	   +0.009;	   -6.133;	   +0.017;	   +0.017;	   +8.291;	idle                ;	   +0.285;	   +0.000
20241213;	113330;	1734086010.000;	   +4.436;	   +0.009;	   -4.547;	   +0.017;	   +0.017;	   +5.864;	idle                ;	   +0.291;	   +0.000
20241213;	113335;	1734086015.000;	   +4.466;	   +0.009;	   -4.832;	   +0.017;	   +0.017;	   +5.816;	idle                ;	   +0.298;	   +0.000
20241213;	113340;	1734086020.000;	   +5.084;	   +0.009;	   -4.348;	   +0.017;	   +0.017;	   +4.436;	idle                ;	   +0.304;	   +0.000
20241213;	113345;	1734086025.000;	   +6.142;	   +0.009;	   -6.351;	   +0.017;	   +0.017;	   +4.466;	idle                ;	   +0.313;	   +0.000
20241213;	113350;	1734086030.000;	   +8.414;	   +0.010;	   -8.393;	   +0.017;	   +0.017;	   +5.084;	idle                ;	   +0.325;	   +0.000
20241213;	113355;	1734086035.000;	   +5.681;	   +0.009;	   -4.354;	   +0.017;	   +0.017;	   +6.142;	idle                ;	   +0.331;	   +0.000
20241213;	113400;	1734086040.000;	   +5.933;	   +0.009;	   -5.835;	   +0.017;	   +0.017;	   +8.414;	idle                ;	   +0.339;	   +0.000
20241213;	113405;	1734086045.000;	   +4.952;	   +0.009;	   -5.423;	   +0.017;	   +0.017;	   +5.681;	idle                ;	   +0.346;	   +0.000
20241213;	113410;	1734086050.000;	   +4.660;	   +0.009;	   -5.042;	   +0.017;	   +0.017;	   +5.933;	idle                ;	   +0.353;	   +0.000
20241213;	113415;	1734086055.000;	   +7.203;	   +0.010;	   -6.986;	   +0.017;	   +0.017;	   +4.952;	idle                ;	   +0.363;	   +0.000
20241213;	113420;	1734086060.000;	   +6.368;	   +0.009;	   -5.234;	   +0.017;	   +0.017;	   +4.660;	idle                ;	   +0.370;	   +0.000
20241213;	113425;	1734086065.000;	   +7.330;	   +0.010;	   -6.706;	   +0.017;	   +0.017;	   +7.203;	idle                ;	   +0.380;	   +0.000
20241213;	113430;	1734086070.000;	   +8.687;	   +0.009;	   -8.386;	   +0.017;	   +0.017;	   +6.368;	idle                ;	   +0.391;	   +0.000
20241213;	113435;	1734086075.000;	   +6.334;	   +0.009;	   -6.513;	   +0.017;	   +0.017;	   +7.330;	idle                ;	   +0.400;	   +0.000
20241213;	113440;	1734086080.000;	   +8.331;	   +0.010;	   -8.640;	   +0.017;	   +0.017;	   +8.687;	idle                ;	   +0.412;	   +0.000
20241213;	113445;	1734086085.000;	   +8.593;	   +0.010;	   -8.504;	   +0.018;	   +0.017;	   +6.334;	idle                ;	   +0.424;	   +0.000
20241213;	113450;	1734086090.000;	   +7.167;	   +0.009;	   -6.684;	   +0.017;	   +0.017;	   +8.331;	idle                ;	   +0.433;	   +0.000
20241213;	113455;	1734086095.000;	   +8.112;	   +0.009;	   -7.980;	   +0.017;	   +0.018;	   +8.593;	idle                ;	   +0.445;	   +0.000
20241213;	113500;	1734086100.000;	   +8.146;	   +0.009;	   -7.423;	   +0.017;	   +0.017;	   +7.167;	idle                ;	   +0.455;	   +0.000
20241213;	113505;	1734086105.000;	   +8.474;	   +0.009;	   -8.354;	   +0.017;	   +0.017;	   +8.112;	idle                ;	   +0.466;	   +0.000
20241213;	113510;	1734086110.000;	   +8.492;	   +0.009;	   -8.444;	   +0.018;	   +0.017;	   +8.146;	idle                ;	   +0.478;	   +0.000
20241213;	113515;	1734086115.000;	   +7.829;	   +0.009;	   -8.521;	   +0.017;	   +0.017;	   +8.474;	idle                ;	   +0.490;	   +0.000
20241213;	113520;	1734086120.000;	   +6.829;	   +0.009;	   -6.905;	   +0.017;	   +0.018;	   +8.492;	idle                ;	   +0.500;	   +0.000
20241213;	113525;	1734086125.000;	   +6.650;	   +0.009;	   -7.348;	   +0.017;	   +0.017;	   +7.829;	idle                ;	   +0.510;	   +0.000
20241213;	113530;	1734086130.000;	   +5.424;	   +0.009;	   -5.632;	   +0.017;	   +0.017;	   +6.829;	idle                ;	   +0.518;	   +0.000
20241213;	113535;	1734086135.000;	   +6.625;	   +0.009;	   -6.576;	   +0.017;	   +0.017;	   +6.650;	idle                ;	   +0.527;	   +0.000
20241213;	113540;	1734086140.000;	   +6.130;	   +0.009;	   -6.192;	   +0.017;	   +0.017;	   +5.424;	idle                ;	   +0.535;	   +0.000
20241213;	113545;	1734086145.000;	   +8.304;	   +0.009;	   -8.210;	   +0.017;	   +0.017;	   +6.625;	idle                ;	   +0.547;	   +0.000
20241213;	113550;	1734086150.000;	   +6.381;	   +0.010;	   -6.960;	   +0.017;	   +0.017;	   +6.130;	idle                ;	   +0.556;	   +0.000
20241213;	113555;	1734086155.000;	   +4.036;	   +0.009;	   -4.092;	   +0.017;	   +0.017;	   +8.304;	idle                ;	   +0.562;	   +0.000
20241213;	113600;	1734086160.000;	   +5.509;	   +0.009;	   -5.004;	   +0.017;	   +0.017;	   +6.381;	idle                ;	   +0.569;	   +0.000
20241213;	113605;	1734086165.000;	   +3.953;	   +0.009;	   -3.969;	   +0.017;	   +0.017;	   +4.036;	idle                ;	   +0.575;	   +0.000
20241213;	113610;	1734086170.000;	   +6.038;	   +0.009;	   -5.511;	   +0.017;	   +0.017;	   +5.509;	idle                ;	   +0.582;	   +0.000
20241213;	113615;	1734086175.000;	   +5.135;	   +0.009;	   -5.219;	   +0.016;	   +0.017;	   +3.953;	idle                ;	   +0.589;	   +0.000
20241213;	113620;	1734086180.000;	   +4.994;	   +0.009;	   -4.678;	   +0.017;	   +0.017;	   +6.038;	idle                ;	   +0.596;	   +0.000
20241213;	113625;	1734086185.000;	   +4.460;	   +0.009;	   -4.867;	   +0.017;	   +0.016;	   +5.135;	idle                ;	   +0.603;	   +0.000
20241213;	113630;	1734086190.000;	   +3.818;	   +0.009;	   -3.815;	   +0.017;	   +0.017;	   +4.994;	idle                ;	   +0.608;	   +0.000
20241213;	113635;	1734086195.000;	   +3.816;	   +0.009;	   -3.684;	   +0.017;	   +0.017;	   +4.460;	idle                ;	   +0.613;	   +0.000
20241213;	113640;	1734086200.000;	   +4.652;	   +0.009;	   -4.016;	   +0.016;	   +0.017;	   +3.818;	idle                ;	   +0.619;	   +0.000
20241213;	113645;	1734086205.000;	   +6.051;	   +0.009;	   -6.069;	   +0.017;	   +0.017;	   +3.816;	idle                ;	   +0.627;	   +0.000
20241213;	113650;	1734086210.000;	   +6.362;	   +0.010;	   -6.264;	   +0.017;	   +0.016;	   +4.652;	idle                ;	   +0.636;	   +0.000
20241213;	113655;	1734086215.000;	   +5.804;	   +0.009;	   -5.889;	   +0.017;	   +0.017;	   +6.051;	idle                ;	   +0.644;	   +0.000
20241213;	113700;	1734086220.000;	   +6.076;	   +0.009;	   -5.901;	   +0.017;	   +0.017;	   +6.362;	idle                ;	   +0.652;	   +0.000
20241213;	113705;	1734086225.000;	   +7.678;	   +0.009;	   -7.210;	   +0.017;	   +0.017;	   +5.804;	idle                ;	   +0.662;	   +0.000
