#ies_format_version: 1.0
#file: 20241213_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241213;	095037;	1734079837.000;	     err7
20241213;	095042;	1734079842.000;	    err20
20241213;	095047;	1734079847.000;	   +0.128
20241213;	095052;	1734079852.000;	   +0.141
20241213;	095057;	1734079857.000;	   +0.162
20241213;	095102;	1734079862.000;	    err32
20241213;	095107;	1734079867.000;	    err32
20241213;	095112;	1734079872.000;	    err32
20241213;	095117;	1734079877.000;	    err32
20241213;	095122;	1734079882.000;	    err32
20241213;	095127;	1734079887.000;	    err32
20241213;	095132;	1734079892.000;	    err32
20241213;	095137;	1734079897.000;	    err32
20241213;	095142;	1734079902.000;	    err32
20241213;	095147;	1734079907.000;	   +0.159
20241213;	095152;	1734079912.000;	   +0.166
20241213;	095157;	1734079917.000;	   +0.162
20241213;	095202;	1734079922.000;	   +0.195
20241213;	095207;	1734079927.000;	   +0.156
20241213;	095212;	1734079932.000;	   +0.150
20241213;	095217;	1734079937.000;	   +0.082
20241213;	095222;	1734079942.000;	   +0.164
20241213;	095227;	1734079947.000;	   +0.097
20241213;	095232;	1734079952.000;	   +0.102
20241213;	095237;	1734079957.000;	   +0.166
20241213;	095242;	1734079962.000;	    err32
20241213;	095247;	1734079967.000;	    err32
20241213;	095252;	1734079972.000;	    err32
20241213;	095257;	1734079977.000;	    err32
20241213;	095302;	1734079982.000;	    err32
20241213;	095307;	1734079987.000;	    err32
20241213;	095312;	1734079992.000;	    err32
20241213;	095317;	1734079997.000;	    err32
20241213;	095322;	1734080002.000;	    err32
20241213;	095327;	1734080007.000;	    err32
20241213;	095332;	1734080012.000;	    err32
20241213;	095337;	1734080017.000;	    err32
20241213;	095342;	1734080022.000;	    err32
20241213;	095347;	1734080027.000;	    err32
20241213;	095352;	1734080032.000;	    err32
20241213;	095357;	1734080037.000;	    err32
20241213;	095402;	1734080042.000;	    err32
20241213;	095407;	1734080047.000;	    err32
20241213;	095412;	1734080052.000;	    err32
20241213;	095417;	1734080057.000;	    err32
20241213;	095422;	1734080062.000;	    err32
20241213;	095427;	1734080067.000;	    err32
20241213;	095432;	1734080072.000;	    err32
20241213;	095437;	1734080077.000;	    err32
20241213;	095442;	1734080082.000;	    err32
20241213;	095447;	1734080087.000;	    err32
20241213;	095452;	1734080092.000;	    err32
20241213;	095457;	1734080097.000;	    err32
20241213;	095502;	1734080102.000;	    err32
20241213;	095507;	1734080107.000;	    err32
20241213;	095512;	1734080112.000;	    err32
20241213;	095517;	1734080117.000;	    err32
20241213;	095522;	1734080122.000;	    err32
20241213;	095527;	1734080127.000;	    err32
20241213;	095532;	1734080132.000;	    err32
20241213;	095537;	1734080137.000;	    err32
20241213;	095542;	1734080142.000;	    err32
20241213;	095547;	1734080147.000;	    err32
20241213;	095552;	1734080152.000;	    err32
20241213;	095557;	1734080157.000;	    err32
20241213;	095602;	1734080162.000;	    err32
20241213;	095607;	1734080167.000;	    err32
20241213;	095612;	1734080172.000;	    err32
20241213;	095617;	1734080177.000;	    err32
20241213;	095622;	1734080182.000;	    err32
20241213;	095627;	1734080187.000;	    err32
20241213;	095632;	1734080192.000;	    err32
20241213;	095637;	1734080197.000;	    err32
20241213;	095642;	1734080202.000;	    err32
20241213;	095647;	1734080207.000;	    err32
20241213;	095652;	1734080212.000;	    err32
20241213;	095657;	1734080217.000;	    err32
20241213;	095702;	1734080222.000;	    err32
20241213;	095707;	1734080227.000;	    err32
20241213;	095712;	1734080232.000;	    err32
20241213;	095717;	1734080237.000;	    err32
20241213;	095722;	1734080242.000;	    err32
20241213;	095727;	1734080247.000;	    err32
20241213;	095732;	1734080252.000;	    err32
