#ies_format_version: 1.0
#file: 20250210_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250210;	113227;	1739183547.000;	     err7
20250210;	113232;	1739183552.000;	   +0.329
20250210;	113237;	1739183557.000;	   +0.000
20250210;	113242;	1739183562.000;	   +0.344
20250210;	113247;	1739183567.000;	   +0.000
20250210;	113252;	1739183572.000;	   +0.000
20250210;	113257;	1739183577.000;	   +0.855
20250210;	113302;	1739183582.000;	   +0.923
20250210;	113307;	1739183587.000;	   +1.092
20250210;	113312;	1739183592.000;	    err32
20250210;	113317;	1739183597.000;	    err32
20250210;	113322;	1739183602.000;	    err32
20250210;	113327;	1739183607.000;	    err32
20250210;	113332;	1739183612.000;	    err32
20250210;	113337;	1739183617.000;	    err32
20250210;	113342;	1739183622.000;	    err32
20250210;	113347;	1739183627.000;	    err32
20250210;	113352;	1739183632.000;	    err32
20250210;	113357;	1739183637.000;	    err32
20250210;	113402;	1739183642.000;	    err32
20250210;	113407;	1739183647.000;	    err32
20250210;	113412;	1739183652.000;	    err32
20250210;	113417;	1739183657.000;	    err32
20250210;	113422;	1739183662.000;	    err32
20250210;	113427;	1739183667.000;	    err32
20250210;	113432;	1739183672.000;	    err32
20250210;	113437;	1739183677.000;	    err32
20250210;	113442;	1739183682.000;	    err32
20250210;	113447;	1739183687.000;	    err32
20250210;	113452;	1739183692.000;	    err32
20250210;	113457;	1739183697.000;	    err32
20250210;	113502;	1739183702.000;	    err32
20250210;	113507;	1739183707.000;	    err32
20250210;	113512;	1739183712.000;	    err32
20250210;	113517;	1739183717.000;	    err32
20250210;	113522;	1739183722.000;	    err32
20250210;	113527;	1739183727.000;	    err32
20250210;	113532;	1739183732.000;	    err32
20250210;	113537;	1739183737.000;	    err32
20250210;	113542;	1739183742.000;	    err32
20250210;	113547;	1739183747.000;	    err32
20250210;	113552;	1739183752.000;	    err32
20250210;	113557;	1739183757.000;	    err32
20250210;	113602;	1739183762.000;	    err32
20250210;	113607;	1739183767.000;	    err32
20250210;	113612;	1739183772.000;	    err32
20250210;	113617;	1739183777.000;	    err32
20250210;	113622;	1739183782.000;	    err32
20250210;	113627;	1739183787.000;	    err32
20250210;	113632;	1739183792.000;	    err32
20250210;	113637;	1739183797.000;	    err32
20250210;	113642;	1739183802.000;	    err32
20250210;	113647;	1739183807.000;	    err32
20250210;	113652;	1739183812.000;	    err32
20250210;	113657;	1739183817.000;	    err32
20250210;	113702;	1739183822.000;	    err32
20250210;	113707;	1739183827.000;	    err32
20250210;	113712;	1739183832.000;	    err32
20250210;	113717;	1739183837.000;	    err32
20250210;	113722;	1739183842.000;	    err32
20250210;	113727;	1739183847.000;	    err32
20250210;	113732;	1739183852.000;	    err32
20250210;	113737;	1739183857.000;	    err32
20250210;	113742;	1739183862.000;	    err32
20250210;	113747;	1739183867.000;	    err32
20250210;	113752;	1739183872.000;	    err32
20250210;	113757;	1739183877.000;	    err32
20250210;	113802;	1739183882.000;	    err32
