#ies_format_version: 1.0
#file: 20250122_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250122;	105922;	1737539962.000;	   +0.199
20250122;	105927;	1737539967.000;	   +0.197
20250122;	105932;	1737539972.000;	   +0.199
20250122;	105937;	1737539977.000;	   +0.203
20250122;	105942;	1737539982.000;	   +0.204
20250122;	105947;	1737539987.000;	   +0.201
20250122;	105952;	1737539992.000;	   +0.199
20250122;	105957;	1737539997.000;	   +0.201
20250122;	110002;	1737540002.000;	   +0.201
20250122;	110007;	1737540007.000;	   +0.205
20250122;	110012;	1737540012.000;	   +0.201
20250122;	110017;	1737540017.000;	   +0.206
20250122;	110022;	1737540022.000;	   +0.202
20250122;	110027;	1737540027.000;	   +0.208
20250122;	110032;	1737540032.000;	   +0.204
20250122;	110037;	1737540037.000;	   +0.203
20250122;	110042;	1737540042.000;	   +0.209
20250122;	110047;	1737540047.000;	   +0.206
20250122;	110052;	1737540052.000;	   +0.202
20250122;	110057;	1737540057.000;	   +0.207
20250122;	110102;	1737540062.000;	   +0.207
20250122;	110107;	1737540067.000;	   +0.207
20250122;	110112;	1737540072.000;	   +0.205
20250122;	110117;	1737540077.000;	   +0.203
20250122;	110122;	1737540082.000;	   +0.206
20250122;	110127;	1737540087.000;	   +0.213
20250122;	110132;	1737540092.000;	   +0.202
20250122;	110137;	1737540097.000;	   +0.210
20250122;	110142;	1737540102.000;	   +0.203
20250122;	110147;	1737540107.000;	   +0.202
20250122;	110152;	1737540112.000;	   +0.229
20250122;	110157;	1737540117.000;	   +0.207
20250122;	110202;	1737540122.000;	   +0.211
20250122;	110207;	1737540127.000;	   +0.215
20250122;	110212;	1737540132.000;	   +0.210
20250122;	110217;	1737540137.000;	   +0.211
20250122;	110222;	1737540142.000;	   +0.201
20250122;	110227;	1737540147.000;	   +0.190
20250122;	110232;	1737540152.000;	   +0.211
20250122;	110237;	1737540157.000;	   +0.186
20250122;	110242;	1737540162.000;	   +0.187
20250122;	110247;	1737540167.000;	   +0.185
20250122;	110252;	1737540172.000;	   +0.191
20250122;	110257;	1737540177.000;	   +0.173
20250122;	110302;	1737540182.000;	   +0.188
20250122;	110307;	1737540187.000;	   +0.188
20250122;	110312;	1737540192.000;	   +0.192
20250122;	110317;	1737540197.000;	   +0.193
20250122;	110322;	1737540202.000;	   +0.189
20250122;	110327;	1737540207.000;	   +0.197
20250122;	110332;	1737540212.000;	   +0.295
20250122;	110337;	1737540217.000;	   +0.175
20250122;	110342;	1737540222.000;	   +0.190
20250122;	110347;	1737540227.000;	   +0.192
20250122;	110352;	1737540232.000;	   +0.193
20250122;	110357;	1737540237.000;	   +0.187
20250122;	110402;	1737540242.000;	   +0.180
20250122;	110407;	1737540247.000;	   +0.189
20250122;	110412;	1737540252.000;	   +0.332
20250122;	110417;	1737540257.000;	   +0.187
20250122;	110422;	1737540262.000;	   +0.070
20250122;	110427;	1737540267.000;	   +0.194
20250122;	110432;	1737540272.000;	   +0.029
20250122;	110437;	1737540277.000;	   +0.376
20250122;	110442;	1737540282.000;	   +0.371
20250122;	110447;	1737540287.000;	   +0.181
20250122;	110452;	1737540292.000;	   +0.182
20250122;	110457;	1737540297.000;	   +0.202
20250122;	110502;	1737540302.000;	   +0.192
20250122;	110507;	1737540307.000;	   +0.193
20250122;	110512;	1737540312.000;	   +0.279
20250122;	110517;	1737540317.000;	   +0.177
20250122;	110522;	1737540322.000;	   +0.107
20250122;	110527;	1737540327.000;	   +0.188
20250122;	110532;	1737540332.000;	   +0.100
20250122;	110537;	1737540337.000;	   +0.273
20250122;	110542;	1737540342.000;	   +0.185
20250122;	110547;	1737540347.000;	   +0.085
20250122;	110552;	1737540352.000;	   +0.189
20250122;	110557;	1737540357.000;	   +0.420
20250122;	110602;	1737540362.000;	   +0.205
20250122;	110607;	1737540367.000;	   +0.088
20250122;	110612;	1737540372.000;	   +0.000
20250122;	110617;	1737540377.000;	   +0.716
20250122;	110622;	1737540382.000;	   +0.562
20250122;	110627;	1737540387.000;	   +0.000
20250122;	110632;	1737540392.000;	   +0.600
20250122;	110637;	1737540397.000;	   +0.198
20250122;	110642;	1737540402.000;	   +0.194
20250122;	110647;	1737540407.000;	   +0.219
20250122;	110652;	1737540412.000;	   +0.240
20250122;	110657;	1737540417.000;	   +0.231
20250122;	110702;	1737540422.000;	   +0.710
20250122;	110707;	1737540427.000;	   +0.000
20250122;	110712;	1737540432.000;	   +0.141
20250122;	110717;	1737540437.000;	   +0.244
20250122;	110722;	1737540442.000;	   +0.194
20250122;	110727;	1737540447.000;	   +0.229
20250122;	110732;	1737540452.000;	   +0.243
20250122;	110737;	1737540457.000;	   +0.240
20250122;	110742;	1737540462.000;	   +0.226
20250122;	110747;	1737540467.000;	   +0.216
20250122;	110752;	1737540472.000;	   +0.180
20250122;	110757;	1737540477.000;	   +0.231
20250122;	110802;	1737540482.000;	   +0.217
20250122;	110807;	1737540487.000;	   +0.178
20250122;	110812;	1737540492.000;	   +0.231
20250122;	110817;	1737540497.000;	   +0.219
20250122;	110822;	1737540502.000;	   +0.165
20250122;	110827;	1737540507.000;	   +0.129
20250122;	110832;	1737540512.000;	   +0.168
20250122;	110837;	1737540517.000;	   +0.164
20250122;	110842;	1737540522.000;	   +0.169
20250122;	110847;	1737540527.000;	   +0.171
20250122;	110852;	1737540532.000;	   +0.174
20250122;	110857;	1737540537.000;	   +0.168
20250122;	110902;	1737540542.000;	   +0.169
20250122;	110907;	1737540547.000;	   +0.167
20250122;	110912;	1737540552.000;	   +0.170
20250122;	110917;	1737540557.000;	   +0.169
20250122;	110922;	1737540562.000;	   +0.168
20250122;	110927;	1737540567.000;	   +0.173
20250122;	110932;	1737540572.000;	   +0.171
20250122;	110937;	1737540577.000;	   +0.172
20250122;	110942;	1737540582.000;	   +0.138
20250122;	110947;	1737540587.000;	   +0.138
20250122;	110952;	1737540592.000;	   +0.139
20250122;	110957;	1737540597.000;	   +0.144
20250122;	111002;	1737540602.000;	   +0.167
20250122;	111007;	1737540607.000;	   +0.184
20250122;	111012;	1737540612.000;	   +0.183
20250122;	111017;	1737540617.000;	   +0.155
20250122;	111022;	1737540622.000;	    err32
20250122;	111027;	1737540627.000;	    err32
20250122;	111032;	1737540632.000;	    err32
20250122;	111037;	1737540637.000;	    err32
20250122;	111042;	1737540642.000;	    err32
20250122;	111047;	1737540647.000;	    err32
20250122;	111052;	1737540652.000;	    err32
20250122;	111057;	1737540657.000;	    err32
20250122;	111102;	1737540662.000;	    err32
20250122;	111107;	1737540667.000;	    err32
20250122;	111112;	1737540672.000;	    err32
20250122;	111117;	1737540677.000;	    err32
20250122;	111122;	1737540682.000;	    err32
20250122;	111127;	1737540687.000;	    err32
20250122;	111132;	1737540692.000;	    err32
20250122;	111137;	1737540697.000;	    err32
20250122;	111142;	1737540702.000;	    err32
20250122;	111147;	1737540707.000;	    err32
20250122;	111152;	1737540712.000;	    err32
20250122;	111157;	1737540717.000;	    err32
20250122;	111202;	1737540722.000;	    err32
20250122;	111207;	1737540727.000;	    err32
20250122;	111212;	1737540732.000;	    err32
20250122;	111217;	1737540737.000;	    err32
20250122;	111222;	1737540742.000;	    err32
20250122;	111227;	1737540747.000;	    err32
20250122;	111232;	1737540752.000;	    err32
20250122;	111237;	1737540757.000;	    err32
20250122;	111242;	1737540762.000;	    err32
20250122;	111247;	1737540767.000;	    err32
20250122;	111252;	1737540772.000;	    err32
20250122;	111257;	1737540777.000;	    err32
20250122;	111302;	1737540782.000;	    err32
20250122;	111307;	1737540787.000;	    err32
20250122;	111312;	1737540792.000;	    err32
20250122;	111317;	1737540797.000;	    err32
20250122;	111322;	1737540802.000;	    err32
20250122;	111327;	1737540807.000;	    err32
20250122;	111332;	1737540812.000;	    err32
20250122;	111337;	1737540817.000;	    err32
20250122;	111342;	1737540822.000;	    err32
20250122;	111347;	1737540827.000;	    err32
20250122;	111352;	1737540832.000;	    err32
20250122;	111357;	1737540837.000;	    err32
20250122;	111402;	1737540842.000;	    err32
20250122;	111407;	1737540847.000;	    err32
20250122;	111412;	1737540852.000;	    err32
20250122;	111417;	1737540857.000;	    err32
20250122;	111422;	1737540862.000;	    err32
20250122;	111427;	1737540867.000;	    err32
20250122;	111432;	1737540872.000;	    err32
20250122;	111437;	1737540877.000;	    err32
20250122;	111442;	1737540882.000;	    err32
20250122;	111447;	1737540887.000;	    err32
20250122;	111452;	1737540892.000;	    err32
20250122;	111457;	1737540897.000;	    err32
20250122;	111502;	1737540902.000;	    err32
20250122;	111507;	1737540907.000;	    err32
20250122;	111512;	1737540912.000;	    err32
20250122;	111517;	1737540917.000;	    err32
20250122;	111522;	1737540922.000;	    err32
