#ies_format_version: 1.0
#file: 20241216_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241216;	110540;	1734343540.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241216;	110545;	1734343545.000;	   +7.539;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.010;	   +0.000
20241216;	110550;	1734343550.000;	   +7.188;	   +0.009;	   -7.103;	   +0.016;	    err28;	    err28;	idle                ;	   +0.020;	   +0.000
20241216;	110555;	1734343555.000;	   +5.062;	   +0.009;	   -4.873;	   +0.017;	   +0.017;	   +7.539;	idle                ;	   +0.027;	   +0.000
20241216;	110600;	1734343560.000;	   +4.395;	   +0.010;	   -3.975;	   +0.017;	   +0.016;	   +7.188;	idle                ;	   +0.032;	   +0.000
20241216;	110605;	1734343565.000;	   +6.606;	   +0.009;	   -6.401;	   +0.017;	   +0.017;	   +5.062;	idle                ;	   +0.041;	   +0.000
20241216;	110610;	1734343570.000;	   +4.827;	   +0.009;	   -4.739;	   +0.017;	   +0.017;	   +4.395;	idle                ;	   +0.048;	   +0.000
20241216;	110615;	1734343575.000;	   +4.827;	   +0.009;	   -4.862;	   +0.017;	   +0.017;	   +6.606;	idle                ;	   +0.055;	   +0.000
20241216;	110620;	1734343580.000;	   +6.703;	   +0.009;	   -5.987;	   +0.017;	   +0.017;	   +4.827;	idle                ;	   +0.063;	   +0.000
20241216;	110625;	1734343585.000;	   +6.227;	   +0.009;	   -5.665;	   +0.016;	   +0.017;	   +4.827;	idle                ;	   +0.071;	   +0.000
20241216;	110630;	1734343590.000;	   +5.577;	   +0.009;	   -5.806;	   +0.017;	   +0.017;	   +6.703;	idle                ;	   +0.079;	   +0.000
20241216;	110635;	1734343595.000;	   +6.466;	   +0.009;	   -5.866;	   +0.017;	   +0.016;	   +6.227;	idle                ;	   +0.087;	   +0.000
20241216;	110640;	1734343600.000;	   +7.589;	   +0.016;	   -7.391;	   +0.017;	   +0.017;	   +5.577;	idle                ;	   +0.097;	   +0.000
20241216;	110645;	1734343605.000;	   +3.239;	   +0.024;	   -3.045;	   +0.017;	   +0.017;	   +6.466;	idle                ;	   +0.101;	   +0.000
20241216;	110650;	1734343610.000;	   +3.080;	   +0.042;	   -2.861;	   +0.017;	   +0.017;	   +7.589;	idle                ;	   +0.105;	   +0.000
20241216;	110655;	1734343615.000;	   +3.184;	   +0.045;	   -2.944;	   +0.017;	   +0.017;	   +3.239;	idle                ;	   +0.110;	   +0.000
20241216;	110700;	1734343620.000;	   +3.126;	   +0.044;	   -2.895;	   +0.017;	   +0.017;	   +3.080;	idle                ;	   +0.114;	   +0.000
