#ies_format_version: 1.0
#file: 20250127_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250127;	153947;	1737988787.000;	   +2.954
20250127;	153952;	1737988792.000;	   +2.579
20250127;	153957;	1737988797.000;	   +3.144
20250127;	154002;	1737988802.000;	   +1.910
20250127;	154007;	1737988807.000;	   +2.574
20250127;	154012;	1737988812.000;	   +2.520
20250127;	154017;	1737988817.000;	   +2.566
20250127;	154022;	1737988822.000;	   +2.581
20250127;	154027;	1737988827.000;	   +2.575
20250127;	154032;	1737988832.000;	   +0.341
20250127;	154037;	1737988837.000;	   +0.342
20250127;	154042;	1737988842.000;	   +0.345
20250127;	154047;	1737988847.000;	   +0.350
20250127;	154052;	1737988852.000;	   +0.344
20250127;	154057;	1737988857.000;	   +0.339
20250127;	154102;	1737988862.000;	   +0.344
20250127;	154107;	1737988867.000;	   +0.348
20250127;	154112;	1737988872.000;	   +0.353
20250127;	154117;	1737988877.000;	   +0.350
20250127;	154122;	1737988882.000;	   +0.348
20250127;	154127;	1737988887.000;	   +0.400
20250127;	154132;	1737988892.000;	   +0.345
20250127;	154137;	1737988897.000;	   +0.345
20250127;	154142;	1737988902.000;	   +0.358
20250127;	154147;	1737988907.000;	   +0.332
20250127;	154152;	1737988912.000;	   +0.331
20250127;	154157;	1737988917.000;	   +0.334
20250127;	154202;	1737988922.000;	   +0.334
20250127;	154207;	1737988927.000;	   +0.339
20250127;	154212;	1737988932.000;	   +0.344
20250127;	154217;	1737988937.000;	   +0.337
20250127;	154222;	1737988942.000;	   +0.332
20250127;	154227;	1737988947.000;	   +0.352
20250127;	154232;	1737988952.000;	   +0.344
20250127;	154237;	1737988957.000;	   +0.561
20250127;	154242;	1737988962.000;	   +2.619
20250127;	154247;	1737988967.000;	   +2.604
20250127;	154252;	1737988972.000;	   +2.594
20250127;	154257;	1737988977.000;	   +2.590
20250127;	154302;	1737988982.000;	   +2.588
20250127;	154307;	1737988987.000;	   +2.594
20250127;	154312;	1737988992.000;	   +2.593
20250127;	154317;	1737988997.000;	   +2.594
20250127;	154322;	1737989002.000;	   +2.588
20250127;	154327;	1737989007.000;	   +0.343
20250127;	154332;	1737989012.000;	   +0.349
20250127;	154337;	1737989017.000;	   +0.349
20250127;	154342;	1737989022.000;	   +0.342
20250127;	154347;	1737989027.000;	   +0.348
20250127;	154352;	1737989032.000;	   +0.348
20250127;	154357;	1737989037.000;	   +0.349
20250127;	154402;	1737989042.000;	    err32
20250127;	154407;	1737989047.000;	    err32
20250127;	154412;	1737989052.000;	    err32
20250127;	154417;	1737989057.000;	    err32
20250127;	154422;	1737989062.000;	    err32
20250127;	154427;	1737989067.000;	    err32
20250127;	154432;	1737989072.000;	    err32
20250127;	154437;	1737989077.000;	    err32
20250127;	154442;	1737989082.000;	    err32
20250127;	154447;	1737989087.000;	    err32
20250127;	154452;	1737989092.000;	    err32
20250127;	154457;	1737989097.000;	    err32
20250127;	154502;	1737989102.000;	    err32
20250127;	154507;	1737989107.000;	    err32
20250127;	154512;	1737989112.000;	    err32
20250127;	154517;	1737989117.000;	    err32
20250127;	154522;	1737989122.000;	    err32
20250127;	154527;	1737989127.000;	    err32
20250127;	154532;	1737989132.000;	    err32
20250127;	154537;	1737989137.000;	    err32
