#ies_format_version: 1.0
#file: 20250122_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20250122;	105920;	1737539960.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20250122;	105925;	1737539965.000;	   +6.708;	   +0.030;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.009;	   +0.000
20250122;	105930;	1737539970.000;	   +6.703;	   +0.030;	   -6.506;	   +0.017;	    err28;	    err28;	idle                ;	   +0.018;	   +0.000
20250122;	105935;	1737539975.000;	   +6.714;	   +0.030;	   -6.515;	   +0.017;	   +0.017;	   +6.708;	idle                ;	   +0.027;	   +0.000
20250122;	105940;	1737539980.000;	   +6.721;	   +0.030;	   -6.518;	   +0.017;	   +0.017;	   +6.703;	idle                ;	   +0.036;	   +0.000
20250122;	105945;	1737539985.000;	   +6.728;	   +0.030;	   -6.524;	   +0.017;	   +0.017;	   +6.714;	idle                ;	   +0.045;	   +0.000
20250122;	105950;	1737539990.000;	   +6.716;	   +0.030;	   -6.515;	   +0.017;	   +0.017;	   +6.721;	idle                ;	   +0.054;	   +0.000
20250122;	105955;	1737539995.000;	   +6.718;	   +0.030;	   -6.519;	   +0.017;	   +0.017;	   +6.728;	idle                ;	   +0.063;	   +0.000
20250122;	110000;	1737540000.000;	   +6.724;	   +0.030;	   -6.523;	   +0.017;	   +0.017;	   +6.716;	idle                ;	   +0.072;	   +0.000
20250122;	110005;	1737540005.000;	   +6.720;	   +0.030;	   -6.519;	   +0.017;	   +0.017;	   +6.718;	idle                ;	   +0.081;	   +0.000
20250122;	110010;	1737540010.000;	   +6.725;	   +0.030;	   -6.520;	   +0.017;	   +0.017;	   +6.724;	idle                ;	   +0.091;	   +0.000
20250122;	110015;	1737540015.000;	   +6.752;	   +0.030;	   -6.551;	   +0.017;	   +0.017;	   +6.720;	idle                ;	   +0.100;	   +0.000
20250122;	110020;	1737540020.000;	   +6.743;	   +0.030;	   -6.537;	   +0.017;	   +0.017;	   +6.725;	idle                ;	   +0.109;	   +0.000
20250122;	110025;	1737540025.000;	   +6.758;	   +0.030;	   -6.556;	   +0.017;	   +0.017;	   +6.752;	idle                ;	   +0.118;	   +0.000
20250122;	110030;	1737540030.000;	   +6.776;	   +0.030;	   -6.568;	   +0.017;	   +0.017;	   +6.743;	idle                ;	   +0.127;	   +0.000
20250122;	110035;	1737540035.000;	   +6.798;	   +0.030;	   -6.594;	   +0.017;	   +0.017;	   +6.758;	idle                ;	   +0.136;	   +0.000
20250122;	110040;	1737540040.000;	   +6.793;	   +0.030;	   -6.590;	   +0.017;	   +0.017;	   +6.776;	idle                ;	   +0.145;	   +0.000
20250122;	110045;	1737540045.000;	   +6.797;	   +0.030;	   -6.588;	   +0.017;	   +0.017;	   +6.798;	idle                ;	   +0.154;	   +0.000
20250122;	110050;	1737540050.000;	   +6.833;	   +0.030;	   -6.627;	   +0.017;	   +0.017;	   +6.793;	idle                ;	   +0.164;	   +0.000
20250122;	110055;	1737540055.000;	   +6.808;	   +0.030;	   -6.606;	   +0.017;	   +0.017;	   +6.797;	idle                ;	   +0.173;	   +0.000
20250122;	110100;	1737540060.000;	   +6.821;	   +0.030;	   -6.614;	   +0.017;	   +0.017;	   +6.833;	idle                ;	   +0.182;	   +0.000
20250122;	110105;	1737540065.000;	   +6.853;	   +0.030;	   -6.646;	   +0.017;	   +0.017;	   +6.808;	idle                ;	   +0.191;	   +0.000
20250122;	110110;	1737540070.000;	   +6.866;	   +0.030;	   -6.659;	   +0.017;	   +0.017;	   +6.821;	idle                ;	   +0.200;	   +0.000
20250122;	110115;	1737540075.000;	   +6.879;	   +0.030;	   -6.674;	   +0.017;	   +0.017;	   +6.853;	idle                ;	   +0.210;	   +0.000
20250122;	110120;	1737540080.000;	   +6.880;	   +0.030;	   -6.677;	   +0.017;	   +0.017;	   +6.866;	idle                ;	   +0.219;	   +0.000
20250122;	110125;	1737540085.000;	   +6.893;	   +0.030;	   -6.687;	   +0.017;	   +0.017;	   +6.879;	idle                ;	   +0.228;	   +0.000
