#ies_format_version: 1.0
#file: 20241217_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241217;	141832;	1734441512.000;	   +0.712
20241217;	141837;	1734441517.000;	   +0.726
20241217;	141842;	1734441522.000;	   +0.730
20241217;	141847;	1734441527.000;	   +0.728
20241217;	141852;	1734441532.000;	   +0.721
20241217;	141857;	1734441537.000;	   +0.016
20241217;	141902;	1734441542.000;	   +0.699
20241217;	141907;	1734441547.000;	   +0.709
20241217;	141912;	1734441552.000;	   +0.709
20241217;	141917;	1734441557.000;	   +0.709
20241217;	141922;	1734441562.000;	   +0.712
20241217;	141927;	1734441567.000;	   +0.714
20241217;	141932;	1734441572.000;	   +0.726
20241217;	141937;	1734441577.000;	   +2.061
20241217;	141942;	1734441582.000;	   +0.480
20241217;	141947;	1734441587.000;	   +0.242
20241217;	141952;	1734441592.000;	   +0.315
20241217;	141957;	1734441597.000;	   +1.500
20241217;	142002;	1734441602.000;	   +0.821
20241217;	142007;	1734441607.000;	   +0.736
20241217;	142012;	1734441612.000;	   +0.714
20241217;	142017;	1734441617.000;	   +0.679
20241217;	142022;	1734441622.000;	   +0.420
20241217;	142027;	1734441627.000;	   +0.694
20241217;	142032;	1734441632.000;	   +0.692
20241217;	142037;	1734441637.000;	   +0.694
20241217;	142042;	1734441642.000;	    err32
20241217;	142047;	1734441647.000;	    err32
20241217;	142052;	1734441652.000;	    err32
20241217;	142057;	1734441657.000;	    err32
20241217;	142102;	1734441662.000;	    err32
20241217;	142107;	1734441667.000;	    err32
20241217;	142112;	1734441672.000;	    err32
20241217;	142117;	1734441677.000;	    err32
20241217;	142122;	1734441682.000;	    err32
20241217;	142127;	1734441687.000;	   +0.980
20241217;	142132;	1734441692.000;	   +1.304
20241217;	142137;	1734441697.000;	   +0.759
20241217;	142142;	1734441702.000;	   +0.714
20241217;	142147;	1734441707.000;	   +0.705
20241217;	142152;	1734441712.000;	   +1.026
20241217;	142157;	1734441717.000;	   +0.729
20241217;	142202;	1734441722.000;	   +0.710
20241217;	142207;	1734441727.000;	   +0.723
20241217;	142212;	1734441732.000;	   +0.698
20241217;	142217;	1734441737.000;	   +1.070
20241217;	142222;	1734441742.000;	   +0.584
20241217;	142227;	1734441747.000;	   +0.001
20241217;	142232;	1734441752.000;	   +0.676
20241217;	142237;	1734441757.000;	   +0.759
20241217;	142242;	1734441762.000;	   +0.713
20241217;	142247;	1734441767.000;	    err32
20241217;	142252;	1734441772.000;	    err32
20241217;	142257;	1734441777.000;	    err32
20241217;	142302;	1734441782.000;	    err32
20241217;	142307;	1734441787.000;	    err32
20241217;	142312;	1734441792.000;	    err32
20241217;	142317;	1734441797.000;	    err32
20241217;	142322;	1734441802.000;	    err32
20241217;	142327;	1734441807.000;	    err32
20241217;	142332;	1734441812.000;	    err32
20241217;	142337;	1734441817.000;	    err32
20241217;	142342;	1734441822.000;	    err32
20241217;	142347;	1734441827.000;	    err32
20241217;	142352;	1734441832.000;	    err32
20241217;	142357;	1734441837.000;	    err32
20241217;	142402;	1734441842.000;	    err32
20241217;	142407;	1734441847.000;	    err32
20241217;	142412;	1734441852.000;	    err32
20241217;	142417;	1734441857.000;	    err32
20241217;	142422;	1734441862.000;	    err32
20241217;	142427;	1734441867.000;	    err32
20241217;	142432;	1734441872.000;	    err32
20241217;	142437;	1734441877.000;	    err32
20241217;	142442;	1734441882.000;	    err32
20241217;	142447;	1734441887.000;	    err32
20241217;	142452;	1734441892.000;	    err32
20241217;	142457;	1734441897.000;	    err32
20241217;	142502;	1734441902.000;	    err32
20241217;	142507;	1734441907.000;	    err32
