#ies_format_version: 1.0
#file: 20250223_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250223;	130832;	1740312512.000;	     err7
20250223;	130837;	1740312517.000;	    err20
20250223;	130842;	1740312522.000;	   +0.110
20250223;	130847;	1740312527.000;	   +0.169
20250223;	130852;	1740312532.000;	   +0.240
20250223;	130857;	1740312537.000;	   +0.099
20250223;	130902;	1740312542.000;	    err32
20250223;	130907;	1740312547.000;	    err32
20250223;	130912;	1740312552.000;	    err32
20250223;	130917;	1740312557.000;	    err32
20250223;	130922;	1740312562.000;	    err32
20250223;	130927;	1740312567.000;	    err32
20250223;	130932;	1740312572.000;	    err32
20250223;	130937;	1740312577.000;	    err32
20250223;	130942;	1740312582.000;	    err32
20250223;	130947;	1740312587.000;	    err32
20250223;	130952;	1740312592.000;	    err32
20250223;	130957;	1740312597.000;	    err32
20250223;	131002;	1740312602.000;	    err32
20250223;	131007;	1740312607.000;	    err32
20250223;	131012;	1740312612.000;	    err32
20250223;	131017;	1740312617.000;	    err32
20250223;	131022;	1740312622.000;	    err32
20250223;	131027;	1740312627.000;	    err32
20250223;	131032;	1740312632.000;	    err32
20250223;	131037;	1740312637.000;	    err32
20250223;	131042;	1740312642.000;	    err32
20250223;	131047;	1740312647.000;	    err32
20250223;	131052;	1740312652.000;	    err32
20250223;	131057;	1740312657.000;	    err32
20250223;	131102;	1740312662.000;	    err32
20250223;	131107;	1740312667.000;	    err32
20250223;	131112;	1740312672.000;	    err32
20250223;	131117;	1740312677.000;	    err32
20250223;	131122;	1740312682.000;	    err32
20250223;	131127;	1740312687.000;	    err32
20250223;	131132;	1740312692.000;	    err32
20250223;	131137;	1740312697.000;	    err32
20250223;	131142;	1740312702.000;	    err32
20250223;	131147;	1740312707.000;	    err32
20250223;	131152;	1740312712.000;	    err32
20250223;	131157;	1740312717.000;	    err32
20250223;	131202;	1740312722.000;	    err32
20250223;	131207;	1740312727.000;	    err32
20250223;	131212;	1740312732.000;	    err32
20250223;	131217;	1740312737.000;	    err32
20250223;	131222;	1740312742.000;	    err32
20250223;	131227;	1740312747.000;	    err32
20250223;	131232;	1740312752.000;	    err32
20250223;	131237;	1740312757.000;	    err32
20250223;	131242;	1740312762.000;	    err32
20250223;	131247;	1740312767.000;	    err32
20250223;	131252;	1740312772.000;	    err32
20250223;	131257;	1740312777.000;	    err32
20250223;	131302;	1740312782.000;	    err32
20250223;	131307;	1740312787.000;	    err32
20250223;	131312;	1740312792.000;	    err32
20250223;	131317;	1740312797.000;	    err32
20250223;	131322;	1740312802.000;	    err32
20250223;	131327;	1740312807.000;	    err32
20250223;	131332;	1740312812.000;	    err32
20250223;	131337;	1740312817.000;	    err32
20250223;	131342;	1740312822.000;	    err32
20250223;	131347;	1740312827.000;	    err32
20250223;	131352;	1740312832.000;	    err32
20250223;	131357;	1740312837.000;	    err32
20250223;	131402;	1740312842.000;	    err32
20250223;	131407;	1740312847.000;	    err32
20250223;	131412;	1740312852.000;	    err32
20250223;	131417;	1740312857.000;	    err32
20250223;	131422;	1740312862.000;	    err32
20250223;	131427;	1740312867.000;	    err32
20250223;	131432;	1740312872.000;	    err32
20250223;	131437;	1740312877.000;	    err32
20250223;	131442;	1740312882.000;	    err32
20250223;	131447;	1740312887.000;	    err32
20250223;	131452;	1740312892.000;	    err32
20250223;	131457;	1740312897.000;	    err32
20250223;	131502;	1740312902.000;	    err32
20250223;	131507;	1740312907.000;	    err32
20250223;	131512;	1740312912.000;	    err32
20250223;	131517;	1740312917.000;	    err32
20250223;	131522;	1740312922.000;	    err32
20250223;	131527;	1740312927.000;	    err32
20250223;	131532;	1740312932.000;	    err32
20250223;	131537;	1740312937.000;	    err32
20250223;	131542;	1740312942.000;	    err32
20250223;	131547;	1740312947.000;	    err32
20250223;	131552;	1740312952.000;	    err32
20250223;	131557;	1740312957.000;	    err32
20250223;	131602;	1740312962.000;	    err32
20250223;	131607;	1740312967.000;	    err32
20250223;	131612;	1740312972.000;	    err32
20250223;	131617;	1740312977.000;	    err32
20250223;	131622;	1740312982.000;	    err32
20250223;	131627;	1740312987.000;	    err32
20250223;	131632;	1740312992.000;	    err32
20250223;	131637;	1740312997.000;	    err32
20250223;	131642;	1740313002.000;	    err32
20250223;	131647;	1740313007.000;	    err32
20250223;	131652;	1740313012.000;	    err32
20250223;	131657;	1740313017.000;	    err32
20250223;	131702;	1740313022.000;	    err32
20250223;	131707;	1740313027.000;	    err32
20250223;	131712;	1740313032.000;	    err32
20250223;	131717;	1740313037.000;	    err32
20250223;	131722;	1740313042.000;	    err32
20250223;	131727;	1740313047.000;	    err32
20250223;	131732;	1740313052.000;	    err32
20250223;	131737;	1740313057.000;	    err32
20250223;	131742;	1740313062.000;	    err32
20250223;	131747;	1740313067.000;	    err32
20250223;	131752;	1740313072.000;	    err32
20250223;	131757;	1740313077.000;	    err32
20250223;	131802;	1740313082.000;	    err32
20250223;	131807;	1740313087.000;	    err32
20250223;	131812;	1740313092.000;	    err32
20250223;	131817;	1740313097.000;	    err32
20250223;	131822;	1740313102.000;	    err32
20250223;	131827;	1740313107.000;	    err32
20250223;	131832;	1740313112.000;	    err32
20250223;	131837;	1740313117.000;	    err32
20250223;	131842;	1740313122.000;	    err32
20250223;	131847;	1740313127.000;	    err32
20250223;	131852;	1740313132.000;	    err32
20250223;	131857;	1740313137.000;	    err32
20250223;	131902;	1740313142.000;	    err32
20250223;	131907;	1740313147.000;	    err32
20250223;	131912;	1740313152.000;	    err32
20250223;	131917;	1740313157.000;	    err32
20250223;	131922;	1740313162.000;	    err32
20250223;	131927;	1740313167.000;	    err32
20250223;	131932;	1740313172.000;	    err32
20250223;	131937;	1740313177.000;	    err32
20250223;	131942;	1740313182.000;	    err32
20250223;	131947;	1740313187.000;	    err32
20250223;	131952;	1740313192.000;	    err32
20250223;	131957;	1740313197.000;	    err32
20250223;	132002;	1740313202.000;	    err32
20250223;	132007;	1740313207.000;	    err32
20250223;	132012;	1740313212.000;	    err32
20250223;	132017;	1740313217.000;	    err32
20250223;	132022;	1740313222.000;	    err32
20250223;	132027;	1740313227.000;	    err32
20250223;	132032;	1740313232.000;	    err32
20250223;	132037;	1740313237.000;	    err32
20250223;	132042;	1740313242.000;	    err32
20250223;	132047;	1740313247.000;	    err32
20250223;	132052;	1740313252.000;	    err32
20250223;	132057;	1740313257.000;	    err32
20250223;	132102;	1740313262.000;	    err32
20250223;	132107;	1740313267.000;	    err32
20250223;	132112;	1740313272.000;	    err32
20250223;	132117;	1740313277.000;	    err32
20250223;	132122;	1740313282.000;	    err32
20250223;	132127;	1740313287.000;	    err32
20250223;	132132;	1740313292.000;	    err32
20250223;	132137;	1740313297.000;	    err32
