#ies_format_version: 1.0
#file: 20241212_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241212;	120452;	1734001492.000;	   +0.020
20241212;	120457;	1734001497.000;	   +0.090
20241212;	120502;	1734001502.000;	   +0.116
20241212;	120507;	1734001507.000;	   +0.123
20241212;	120512;	1734001512.000;	   +0.125
20241212;	120517;	1734001517.000;	   +0.129
20241212;	120522;	1734001522.000;	   +0.132
20241212;	120527;	1734001527.000;	   +0.137
20241212;	120532;	1734001532.000;	   +0.133
20241212;	120537;	1734001537.000;	   +0.129
20241212;	120542;	1734001542.000;	   +0.131
20241212;	120547;	1734001547.000;	   +0.131
20241212;	120552;	1734001552.000;	   +0.134
20241212;	120557;	1734001557.000;	   +0.136
20241212;	120602;	1734001562.000;	   +0.133
20241212;	120607;	1734001567.000;	   +0.138
20241212;	120612;	1734001572.000;	   +0.151
20241212;	120617;	1734001577.000;	   +0.000
20241212;	120622;	1734001582.000;	   +0.149
20241212;	120627;	1734001587.000;	   +0.162
20241212;	120632;	1734001592.000;	   +0.142
20241212;	120637;	1734001597.000;	   +0.389
20241212;	120642;	1734001602.000;	   +0.000
20241212;	120647;	1734001607.000;	   +0.000
20241212;	120652;	1734001612.000;	   +0.392
20241212;	120657;	1734001617.000;	   +0.063
20241212;	120702;	1734001622.000;	   +0.738
20241212;	120707;	1734001627.000;	   +0.000
20241212;	120712;	1734001632.000;	   +0.328
20241212;	120717;	1734001637.000;	   +0.300
