#ies_format_version: 1.0
#file: 20241216_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241216;	110542;	1734343542.000;	   +0.185
20241216;	110547;	1734343547.000;	   +0.085
20241216;	110552;	1734343552.000;	   +0.189
20241216;	110557;	1734343557.000;	   +0.420
20241216;	110602;	1734343562.000;	   +0.205
20241216;	110607;	1734343567.000;	   +0.088
20241216;	110612;	1734343572.000;	   +0.000
20241216;	110617;	1734343577.000;	   +0.716
20241216;	110622;	1734343582.000;	   +0.562
20241216;	110627;	1734343587.000;	   +0.000
20241216;	110632;	1734343592.000;	   +0.600
20241216;	110637;	1734343597.000;	   +0.198
20241216;	110642;	1734343602.000;	   +0.194
20241216;	110647;	1734343607.000;	   +0.219
20241216;	110652;	1734343612.000;	   +0.240
20241216;	110657;	1734343617.000;	   +0.231
20241216;	110702;	1734343622.000;	   +0.710
20241216;	110707;	1734343627.000;	   +0.000
20241216;	110712;	1734343632.000;	   +0.141
20241216;	110717;	1734343637.000;	   +0.244
20241216;	110722;	1734343642.000;	   +0.194
20241216;	110727;	1734343647.000;	   +0.229
20241216;	110732;	1734343652.000;	   +0.243
20241216;	110737;	1734343657.000;	   +0.240
20241216;	110742;	1734343662.000;	   +0.226
20241216;	110747;	1734343667.000;	   +0.216
20241216;	110752;	1734343672.000;	   +0.180
20241216;	110757;	1734343677.000;	   +0.231
20241216;	110802;	1734343682.000;	   +0.217
20241216;	110807;	1734343687.000;	   +0.178
20241216;	110812;	1734343692.000;	   +0.231
20241216;	110817;	1734343697.000;	   +0.219
20241216;	110822;	1734343702.000;	   +0.165
20241216;	110827;	1734343707.000;	   +0.129
20241216;	110832;	1734343712.000;	   +0.168
20241216;	110837;	1734343717.000;	   +0.164
20241216;	110842;	1734343722.000;	   +0.169
20241216;	110847;	1734343727.000;	   +0.171
20241216;	110852;	1734343732.000;	   +0.174
20241216;	110857;	1734343737.000;	   +0.168
20241216;	110902;	1734343742.000;	   +0.169
20241216;	110907;	1734343747.000;	   +0.167
20241216;	110912;	1734343752.000;	   +0.170
20241216;	110917;	1734343757.000;	   +0.169
20241216;	110922;	1734343762.000;	   +0.168
20241216;	110927;	1734343767.000;	   +0.173
20241216;	110932;	1734343772.000;	   +0.171
20241216;	110937;	1734343777.000;	   +0.172
20241216;	110942;	1734343782.000;	   +0.138
20241216;	110947;	1734343787.000;	   +0.138
20241216;	110952;	1734343792.000;	   +0.139
20241216;	110957;	1734343797.000;	   +0.144
20241216;	111002;	1734343802.000;	   +0.167
20241216;	111007;	1734343807.000;	   +0.184
20241216;	111012;	1734343812.000;	   +0.183
20241216;	111017;	1734343817.000;	   +0.155
20241216;	111022;	1734343822.000;	   +0.164
20241216;	111027;	1734343827.000;	   +0.129
20241216;	111032;	1734343832.000;	   +0.189
20241216;	111037;	1734343837.000;	   +0.101
20241216;	111042;	1734343842.000;	   +0.138
20241216;	111047;	1734343847.000;	   +0.138
20241216;	111052;	1734343852.000;	   +0.140
20241216;	111057;	1734343857.000;	   +0.149
20241216;	111102;	1734343862.000;	   +0.130
20241216;	111107;	1734343867.000;	   +0.000
20241216;	111112;	1734343872.000;	   +0.000
20241216;	111117;	1734343877.000;	   +0.152
20241216;	111122;	1734343882.000;	   +0.000
20241216;	111127;	1734343887.000;	   +0.000
20241216;	111132;	1734343892.000;	   +0.342
20241216;	111137;	1734343897.000;	   +0.130
20241216;	111142;	1734343902.000;	   +0.000
20241216;	111147;	1734343907.000;	   +0.097
20241216;	111152;	1734343912.000;	   +0.117
20241216;	111157;	1734343917.000;	   +0.169
20241216;	111202;	1734343922.000;	   +0.000
20241216;	111207;	1734343927.000;	   +0.059
20241216;	111212;	1734343932.000;	   +0.063
20241216;	111217;	1734343937.000;	   +0.127
