#ies_format_version: 1.0
#file: 20250203_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250203;	105957;	1738576797.000;	   +0.201
20250203;	110002;	1738576802.000;	   +0.201
20250203;	110007;	1738576807.000;	   +0.205
20250203;	110012;	1738576812.000;	   +0.201
20250203;	110017;	1738576817.000;	   +0.206
20250203;	110022;	1738576822.000;	   +0.202
20250203;	110027;	1738576827.000;	   +0.208
20250203;	110032;	1738576832.000;	   +0.204
20250203;	110037;	1738576837.000;	   +0.203
20250203;	110042;	1738576842.000;	   +0.209
20250203;	110047;	1738576847.000;	   +0.206
20250203;	110052;	1738576852.000;	    err32
20250203;	110057;	1738576857.000;	    err32
20250203;	110102;	1738576862.000;	    err32
20250203;	110107;	1738576867.000;	    err32
20250203;	110112;	1738576872.000;	    err32
20250203;	110117;	1738576877.000;	    err32
20250203;	110122;	1738576882.000;	    err32
20250203;	110127;	1738576887.000;	    err32
20250203;	110132;	1738576892.000;	    err32
20250203;	110137;	1738576897.000;	    err32
20250203;	110142;	1738576902.000;	    err32
20250203;	110147;	1738576907.000;	    err32
20250203;	110152;	1738576912.000;	    err32
20250203;	110157;	1738576917.000;	    err32
20250203;	110202;	1738576922.000;	    err32
20250203;	110207;	1738576927.000;	    err32
20250203;	110212;	1738576932.000;	    err32
20250203;	110217;	1738576937.000;	    err32
20250203;	110222;	1738576942.000;	    err32
20250203;	110227;	1738576947.000;	    err32
20250203;	110232;	1738576952.000;	    err32
20250203;	110237;	1738576957.000;	    err32
20250203;	110242;	1738576962.000;	    err32
20250203;	110247;	1738576967.000;	    err32
20250203;	110252;	1738576972.000;	    err32
20250203;	110257;	1738576977.000;	    err32
20250203;	110302;	1738576982.000;	    err32
20250203;	110307;	1738576987.000;	    err32
20250203;	110312;	1738576992.000;	    err32
20250203;	110317;	1738576997.000;	    err32
20250203;	110322;	1738577002.000;	    err32
20250203;	110327;	1738577007.000;	    err32
20250203;	110332;	1738577012.000;	    err32
20250203;	110337;	1738577017.000;	    err32
20250203;	110342;	1738577022.000;	    err32
20250203;	110347;	1738577027.000;	    err32
20250203;	110352;	1738577032.000;	    err32
20250203;	110357;	1738577037.000;	    err32
20250203;	110402;	1738577042.000;	    err32
20250203;	110407;	1738577047.000;	    err32
20250203;	110412;	1738577052.000;	    err32
20250203;	110417;	1738577057.000;	    err32
20250203;	110422;	1738577062.000;	    err32
20250203;	110427;	1738577067.000;	    err32
20250203;	110432;	1738577072.000;	    err32
20250203;	110437;	1738577077.000;	    err32
20250203;	110442;	1738577082.000;	    err32
20250203;	110447;	1738577087.000;	    err32
20250203;	110452;	1738577092.000;	    err32
20250203;	110457;	1738577097.000;	    err32
20250203;	110502;	1738577102.000;	    err32
20250203;	110507;	1738577107.000;	    err32
20250203;	110512;	1738577112.000;	    err32
20250203;	110517;	1738577117.000;	    err32
20250203;	110522;	1738577122.000;	    err32
20250203;	110527;	1738577127.000;	    err32
20250203;	110532;	1738577132.000;	    err32
20250203;	110537;	1738577137.000;	    err32
20250203;	110542;	1738577142.000;	    err32
20250203;	110547;	1738577147.000;	    err32
20250203;	110552;	1738577152.000;	    err32
20250203;	110557;	1738577157.000;	    err32
20250203;	110602;	1738577162.000;	    err32
20250203;	110607;	1738577167.000;	    err32
20250203;	110612;	1738577172.000;	    err32
20250203;	110617;	1738577177.000;	    err32
20250203;	110622;	1738577182.000;	    err32
20250203;	110627;	1738577187.000;	    err32
20250203;	110632;	1738577192.000;	    err32
20250203;	110637;	1738577197.000;	    err32
20250203;	110642;	1738577202.000;	    err32
20250203;	110647;	1738577207.000;	    err32
