#ies_format_version: 1.0
#file: 20241223_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241223;	150145;	1734962505.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241223;	150150;	1734962510.000;	   +2.375;	   +0.028;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.003;	   +0.000
20241223;	150155;	1734962515.000;	   +2.392;	   +0.028;	   +0.196;	   +0.017;	    err28;	    err28;	idle                ;	   +0.003;	   +0.000
20241223;	150200;	1734962520.000;	   +2.413;	   +0.028;	   -2.219;	   +0.017;	   +0.017;	   +2.375;	idle                ;	   +0.006;	   +0.000
20241223;	150205;	1734962525.000;	   +2.444;	   +0.028;	   -2.254;	   +0.016;	   +0.017;	   +2.392;	idle                ;	   +0.009;	   +0.000
20241223;	150210;	1734962530.000;	   +2.488;	   +0.028;	   -2.290;	   +0.017;	   +0.017;	   +2.413;	idle                ;	   +0.012;	   +0.000
20241223;	150215;	1734962535.000;	   +2.526;	   +0.028;	   -2.341;	   +0.016;	   +0.016;	   +2.444;	idle                ;	   +0.016;	   +0.000
20241223;	150220;	1734962540.000;	   +2.549;	   +0.028;	   -2.378;	   +0.017;	   +0.017;	   +2.488;	idle                ;	   +0.019;	   +0.000
20241223;	150225;	1734962545.000;	   +2.565;	   +0.028;	   -2.395;	   +0.017;	   +0.016;	   +2.526;	idle                ;	   +0.022;	   +0.000
20241223;	150230;	1734962550.000;	   +2.571;	   +0.028;	   -2.405;	   +0.016;	   +0.017;	   +2.549;	idle                ;	   +0.026;	   +0.000
20241223;	150235;	1734962555.000;	   +2.602;	   +0.028;	   -2.431;	   +0.016;	   +0.017;	   +2.565;	idle                ;	   +0.029;	   +0.000
20241223;	150240;	1734962560.000;	   +2.786;	   +0.028;	   -2.481;	   +0.016;	   +0.016;	   +2.571;	idle                ;	   +0.032;	   +0.000
